video_id,crawl_time,time_since_publish_minutes,view_count,like_count,comment_count,subscriber_count,video_status
0R4_MoZj9s4,2026-06-05T18:49:50Z,151.2,41,6,,4470,OK
0R4_MoZj9s4,2026-06-05T19:00:09Z,161.5,44,7,,4470,OK
0R4_MoZj9s4,2026-06-05T19:12:24Z,173.8,49,8,,4480,OK
0R4_MoZj9s4,2026-06-05T19:19:51Z,181.2,55,8,,4480,OK
0R4_MoZj9s4,2026-06-05T21:18:59Z,300.4,120,22,,4500,OK
0R4_MoZj9s4,2026-06-05T23:20:35Z,422.0,139,25,,4510,OK
0R4_MoZj9s4,2026-06-06T01:19:27Z,540.8,157,28,,4510,OK
0R4_MoZj9s4,2026-06-06T03:19:03Z,660.4,173,30,,4510,OK
0R4_MoZj9s4,2026-06-06T05:19:16Z,780.6,209,36,,4510,OK
0R4_MoZj9s4,2026-06-06T07:19:25Z,900.8,230,46,,4510,OK
0R4_MoZj9s4,2026-06-06T09:21:59Z,1023.4,255,53,,4510,OK
0R4_MoZj9s4,2026-06-06T11:19:35Z,1141.0,295,67,,4510,OK
0R4_MoZj9s4,2026-06-06T13:20:22Z,1261.8,342,75,,4520,OK
0R4_MoZj9s4,2026-06-06T15:19:23Z,1380.8,382,81,,4520,OK
0R4_MoZj9s4,2026-06-06T17:20:08Z,1501.5,401,86,,4530,OK
0R4_MoZj9s4,2026-06-06T19:19:26Z,1620.8,401,84,,4530,OK
0R4_MoZj9s4,2026-06-06T21:19:53Z,1741.3,401,86,,4530,OK
0R4_MoZj9s4,2026-06-06T23:19:03Z,1860.4,447,85,,4530,OK
0R4_MoZj9s4,2026-06-07T01:18:54Z,1980.3,447,86,,4530,OK
0R4_MoZj9s4,2026-06-07T03:19:15Z,2100.6,454,89,,4530,OK
0R4_MoZj9s4,2026-06-07T05:18:58Z,2220.3,466,92,,4530,OK
0R4_MoZj9s4,2026-06-07T07:18:50Z,2340.2,484,92,,4530,OK
0R4_MoZj9s4,2026-06-07T09:20:23Z,2461.8,489,94,,4530,OK
0R4_MoZj9s4,2026-06-07T11:20:20Z,2581.7,493,94,,4530,OK
0R4_MoZj9s4,2026-06-07T13:18:54Z,2700.3,495,94,,4530,OK
0R4_MoZj9s4,2026-06-07T15:18:45Z,2820.1,495,94,,4530,OK
0R4_MoZj9s4,2026-06-07T16:21:54Z,2883.3,495,94,,4530,OK
0R4_MoZj9s4,2026-06-07T18:19:01Z,3000.4,495,94,,4530,OK
0R4_MoZj9s4,2026-06-07T20:20:26Z,3121.8,495,94,,4540,OK
0R4_MoZj9s4,2026-06-07T22:18:56Z,3240.3,503,94,,4540,OK
0R4_MoZj9s4,2026-06-08T00:18:54Z,3360.3,503,94,,4540,OK
0R4_MoZj9s4,2026-06-08T02:19:00Z,3480.4,504,94,,4540,OK
0R4_MoZj9s4,2026-06-08T04:20:50Z,3602.2,504,94,,4540,OK
0R4_MoZj9s4,2026-06-08T06:19:13Z,3720.6,504,94,,4540,OK
0R4_MoZj9s4,2026-06-08T08:19:01Z,3840.4,504,94,,4540,OK
0R4_MoZj9s4,2026-06-08T10:23:57Z,3965.3,504,94,,4550,OK
0R4_MoZj9s4,2026-06-08T12:20:37Z,4082.0,504,94,,4550,OK
0R4_MoZj9s4,2026-06-08T14:19:55Z,4201.3,505,94,,4550,OK
0R4_MoZj9s4,2026-06-08T16:19:40Z,4321.1,505,94,,4570,OK
0R4_MoZj9s4,2026-06-08T22:19:21Z,4680.7,509,94,,4580,OK
