video_id,crawl_time,time_since_publish_minutes,view_count,like_count,comment_count,subscriber_count,video_status
2nUxU7_6tRw,2026-05-19T04:15:16Z,14.9,41,9,2,44700,OK
2nUxU7_6tRw,2026-05-19T04:24:49Z,24.5,64,11,2,44700,OK
2nUxU7_6tRw,2026-05-19T04:35:15Z,34.9,88,12,3,44700,OK
2nUxU7_6tRw,2026-05-19T04:45:10Z,44.9,112,13,3,44700,OK
2nUxU7_6tRw,2026-05-19T04:54:51Z,54.5,136,18,5,44700,OK
2nUxU7_6tRw,2026-05-19T05:05:01Z,64.7,158,21,6,44700,OK
2nUxU7_6tRw,2026-05-19T05:15:01Z,74.7,184,26,6,44700,OK
2nUxU7_6tRw,2026-05-19T05:25:03Z,84.7,222,28,8,44700,OK
2nUxU7_6tRw,2026-05-19T05:35:18Z,95.0,253,32,17,44700,OK
2nUxU7_6tRw,2026-05-19T05:45:00Z,104.7,280,37,17,44700,OK
2nUxU7_6tRw,2026-05-19T05:54:58Z,114.7,303,39,17,44700,OK
2nUxU7_6tRw,2026-05-19T06:05:41Z,125.4,346,41,19,44700,OK
2nUxU7_6tRw,2026-05-19T06:15:00Z,134.7,379,46,19,44700,OK
2nUxU7_6tRw,2026-05-19T06:25:04Z,144.8,406,50,20,44700,OK
2nUxU7_6tRw,2026-05-19T06:35:03Z,154.7,450,52,21,44700,OK
2nUxU7_6tRw,2026-05-19T06:44:57Z,164.6,488,57,23,44700,OK
2nUxU7_6tRw,2026-05-19T06:55:03Z,174.7,523,62,26,44700,OK
2nUxU7_6tRw,2026-05-19T07:05:08Z,184.8,570,64,26,44700,OK
2nUxU7_6tRw,2026-05-19T09:05:03Z,304.7,1112,111,31,44700,OK
2nUxU7_6tRw,2026-05-19T11:05:15Z,424.9,1822,161,43,44800,OK
2nUxU7_6tRw,2026-05-19T13:05:08Z,544.8,2529,195,46,44800,OK
2nUxU7_6tRw,2026-05-19T15:04:48Z,664.5,3115,217,49,44800,OK
2nUxU7_6tRw,2026-05-19T17:04:50Z,784.5,3481,236,64,44800,OK
2nUxU7_6tRw,2026-05-19T19:04:50Z,904.5,3810,241,66,44800,OK
2nUxU7_6tRw,2026-05-19T21:05:15Z,1024.9,3972,252,73,44800,OK
2nUxU7_6tRw,2026-05-19T23:05:50Z,1145.5,4054,260,74,44800,OK
2nUxU7_6tRw,2026-05-20T01:04:56Z,1264.6,4167,267,75,44800,OK
2nUxU7_6tRw,2026-05-20T03:04:47Z,1384.5,4336,284,81,44800,OK
2nUxU7_6tRw,2026-05-20T05:05:17Z,1505.0,4547,303,100,44800,OK
2nUxU7_6tRw,2026-05-20T07:05:00Z,1624.7,4796,317,113,44800,OK
2nUxU7_6tRw,2026-05-20T09:05:10Z,1744.8,5103,328,117,44800,OK
2nUxU7_6tRw,2026-05-20T11:05:20Z,1865.0,5372,342,119,44800,OK
