video_id,crawl_time,time_since_publish_minutes,view_count,like_count,comment_count,subscriber_count,video_status
5hHPl56fIVg,2026-06-06T14:54:24Z,12.0,0,0,,14500,OK
5hHPl56fIVg,2026-06-06T15:04:27Z,22.1,3,0,,14500,OK
5hHPl56fIVg,2026-06-06T15:14:37Z,32.2,5,0,,14500,OK
5hHPl56fIVg,2026-06-06T15:24:32Z,42.1,5,0,,14500,OK
5hHPl56fIVg,2026-06-06T15:33:55Z,51.5,8,0,,14500,OK
5hHPl56fIVg,2026-06-06T15:43:53Z,61.5,8,0,,14500,OK
5hHPl56fIVg,2026-06-06T15:55:33Z,73.2,8,0,,14500,OK
5hHPl56fIVg,2026-06-06T16:05:38Z,83.2,8,0,,14500,OK
5hHPl56fIVg,2026-06-06T16:15:13Z,92.8,8,0,,14500,OK
5hHPl56fIVg,2026-06-06T16:24:41Z,102.3,10,0,,14500,OK
5hHPl56fIVg,2026-06-06T16:34:33Z,112.2,13,0,,14500,OK
5hHPl56fIVg,2026-06-06T16:43:18Z,120.9,13,0,,14500,UNPLAYABLE
