video_id,crawl_time,time_since_publish_minutes,view_count,like_count,comment_count,subscriber_count,video_status
89HHhxBIoHE,2026-06-05T00:05:10Z,19.2,284,26,1,1700000,OK
89HHhxBIoHE,2026-06-05T00:13:51Z,27.9,455,44,1,1700000,OK
89HHhxBIoHE,2026-06-05T00:25:02Z,39.1,746,65,1,1700000,OK
89HHhxBIoHE,2026-06-05T00:33:49Z,47.9,930,80,1,1700000,OK
89HHhxBIoHE,2026-06-05T00:44:38Z,58.7,1084,98,1,1700000,OK
89HHhxBIoHE,2026-06-05T00:53:45Z,67.8,1259,113,1,1700000,OK
89HHhxBIoHE,2026-06-05T01:03:58Z,78.0,1413,126,1,1700000,OK
89HHhxBIoHE,2026-06-05T01:16:20Z,90.4,1562,144,1,1700000,OK
89HHhxBIoHE,2026-06-05T01:23:48Z,97.9,1627,149,2,1700000,OK
89HHhxBIoHE,2026-06-05T01:34:20Z,108.4,1741,155,2,1700000,OK
89HHhxBIoHE,2026-06-05T01:44:55Z,119.0,1906,165,4,1700000,OK
89HHhxBIoHE,2026-06-05T01:54:05Z,128.2,2041,179,4,1700000,UNPLAYABLE
