video_id,crawl_time,time_since_publish_minutes,view_count,like_count,comment_count,subscriber_count,video_status
BM8h80SZk_I,2026-05-22T19:00:42Z,16.1,58,3,1,487000,OK
BM8h80SZk_I,2026-05-22T19:10:55Z,26.3,110,4,1,487000,OK
BM8h80SZk_I,2026-05-22T19:20:42Z,36.1,157,4,3,487000,OK
BM8h80SZk_I,2026-05-22T19:30:54Z,46.3,196,4,3,487000,OK
BM8h80SZk_I,2026-05-22T19:40:59Z,56.4,232,6,3,487000,OK
BM8h80SZk_I,2026-05-22T19:50:53Z,66.3,264,7,3,487000,OK
BM8h80SZk_I,2026-05-22T20:01:28Z,76.9,281,9,3,487000,OK
BM8h80SZk_I,2026-05-22T20:10:35Z,86.0,292,9,3,487000,OK
BM8h80SZk_I,2026-05-22T20:20:35Z,96.0,303,9,3,487000,OK
BM8h80SZk_I,2026-05-22T20:30:59Z,106.4,311,9,3,487000,OK
BM8h80SZk_I,2026-05-22T20:40:57Z,116.4,331,9,4,487000,OK
BM8h80SZk_I,2026-05-22T20:50:55Z,126.3,363,9,4,487000,OK
BM8h80SZk_I,2026-05-22T21:00:55Z,136.3,397,8,4,487000,OK
BM8h80SZk_I,2026-05-22T21:11:01Z,146.4,445,8,4,487000,OK
BM8h80SZk_I,2026-05-22T21:20:32Z,155.9,468,8,4,487000,OK
BM8h80SZk_I,2026-05-22T21:30:46Z,166.2,515,8,4,487000,OK
BM8h80SZk_I,2026-05-22T21:40:39Z,176.1,531,8,4,487000,OK
BM8h80SZk_I,2026-05-22T21:50:39Z,186.1,554,8,4,487000,OK
BM8h80SZk_I,2026-05-22T23:50:56Z,306.4,772,13,8,487000,OK
BM8h80SZk_I,2026-05-23T01:50:48Z,426.2,960,15,8,487000,OK
