video_id,crawl_time,time_since_publish_minutes,view_count,like_count,comment_count,subscriber_count,video_status
CR9nMm6LQ0k,2026-05-29T13:54:17Z,28.0,180,56,1,14500,OK
CR9nMm6LQ0k,2026-05-29T14:04:12Z,37.9,249,78,5,14500,OK
CR9nMm6LQ0k,2026-05-29T14:14:12Z,47.9,300,99,8,14500,OK
CR9nMm6LQ0k,2026-05-29T14:24:13Z,57.9,368,119,11,14500,OK
CR9nMm6LQ0k,2026-05-29T14:35:17Z,69.0,430,138,13,14500,OK
CR9nMm6LQ0k,2026-05-29T14:44:48Z,78.5,455,155,16,14500,OK
CR9nMm6LQ0k,2026-05-29T14:57:05Z,90.8,489,171,17,14500,OK
CR9nMm6LQ0k,2026-05-29T15:07:32Z,101.2,518,182,18,14500,OK
CR9nMm6LQ0k,2026-05-29T15:19:58Z,113.7,541,191,21,14500,OK
CR9nMm6LQ0k,2026-05-29T15:34:31Z,128.2,556,200,22,14500,OK
CR9nMm6LQ0k,2026-05-29T15:55:20Z,149.0,645,217,23,14500,OK
CR9nMm6LQ0k,2026-05-29T16:13:50Z,167.5,783,228,23,14500,OK
CR9nMm6LQ0k,2026-05-29T16:28:08Z,181.8,872,234,23,14500,OK
CR9nMm6LQ0k,2026-05-29T18:27:52Z,301.6,1365,264,24,14500,OK
CR9nMm6LQ0k,2026-05-29T20:27:23Z,421.1,1691,301,33,14500,OK
CR9nMm6LQ0k,2026-05-29T22:27:00Z,540.7,2097,367,39,14500,OK
CR9nMm6LQ0k,2026-05-30T00:33:40Z,667.4,2801,449,40,14500,OK
CR9nMm6LQ0k,2026-05-30T02:32:33Z,786.2,3367,489,46,14500,OK
CR9nMm6LQ0k,2026-05-30T04:33:28Z,907.1,3679,502,49,14500,OK
CR9nMm6LQ0k,2026-05-30T06:33:38Z,1027.3,3859,517,51,14500,OK
CR9nMm6LQ0k,2026-05-30T08:36:13Z,1149.9,3989,530,52,14500,OK
CR9nMm6LQ0k,2026-05-30T10:31:43Z,1265.4,4129,542,56,14500,OK
CR9nMm6LQ0k,2026-05-30T12:40:02Z,1393.7,4201,545,56,14500,OK
CR9nMm6LQ0k,2026-05-30T14:31:30Z,1505.2,4266,552,57,14500,OK
CR9nMm6LQ0k,2026-05-30T16:32:57Z,1626.6,4310,556,57,14500,OK
CR9nMm6LQ0k,2026-05-30T18:31:56Z,1745.6,4345,557,58,14500,OK
CR9nMm6LQ0k,2026-05-30T20:35:18Z,1869.0,4351,558,58,14500,OK
CR9nMm6LQ0k,2026-05-30T22:28:07Z,1981.8,4365,561,59,14500,OK
CR9nMm6LQ0k,2026-05-31T00:29:16Z,2102.9,4390,565,60,14500,OK
CR9nMm6LQ0k,2026-05-31T02:30:05Z,2223.8,4408,566,60,14500,OK
CR9nMm6LQ0k,2026-05-31T04:37:32Z,2351.2,4455,567,60,14500,OK
CR9nMm6LQ0k,2026-05-31T06:41:42Z,2475.4,4481,569,62,14500,OK
CR9nMm6LQ0k,2026-05-31T08:37:50Z,2591.5,4501,572,62,14500,OK
CR9nMm6LQ0k,2026-05-31T10:39:54Z,2713.6,4578,578,62,14500,UNPLAYABLE
