video_id,crawl_time,time_since_publish_minutes,view_count,like_count,comment_count,subscriber_count,video_status
Ed-AWrRSiUE,2026-05-20T05:12:06Z,11.7,830,169,5,597000,OK
Ed-AWrRSiUE,2026-05-20T05:21:48Z,21.4,1845,383,13,597000,OK
Ed-AWrRSiUE,2026-05-20T05:31:41Z,31.3,2810,590,21,597000,OK
Ed-AWrRSiUE,2026-05-20T05:41:30Z,41.1,3758,815,26,597000,OK
Ed-AWrRSiUE,2026-05-20T05:51:41Z,51.3,4757,1048,33,597000,OK
Ed-AWrRSiUE,2026-05-20T06:02:15Z,61.9,5648,1251,36,597000,OK
Ed-AWrRSiUE,2026-05-20T06:11:39Z,71.3,6336,1471,39,597000,OK
Ed-AWrRSiUE,2026-05-20T06:21:37Z,81.2,7097,1649,46,597000,OK
Ed-AWrRSiUE,2026-05-20T06:31:45Z,91.4,7705,1821,49,597000,OK
Ed-AWrRSiUE,2026-05-20T06:41:43Z,101.3,8293,1989,58,597000,OK
Ed-AWrRSiUE,2026-05-20T06:51:34Z,111.2,8894,2152,62,597000,OK
Ed-AWrRSiUE,2026-05-20T07:01:58Z,121.6,9607,2314,64,597000,OK
Ed-AWrRSiUE,2026-05-20T07:11:33Z,131.2,10444,2458,67,597000,OK
Ed-AWrRSiUE,2026-05-20T07:21:57Z,141.6,11153,2591,71,597000,OK
Ed-AWrRSiUE,2026-05-20T07:32:02Z,151.7,12526,2739,74,597000,OK
Ed-AWrRSiUE,2026-05-20T07:41:56Z,161.6,13630,2858,77,597000,OK
Ed-AWrRSiUE,2026-05-20T07:51:54Z,171.5,14806,2972,86,597000,OK
Ed-AWrRSiUE,2026-05-20T08:02:08Z,181.8,16309,3092,90,597000,OK
Ed-AWrRSiUE,2026-05-20T10:02:02Z,301.7,31703,4301,120,597000,OK
Ed-AWrRSiUE,2026-05-20T12:02:10Z,421.8,45789,5122,141,597000,OK
Ed-AWrRSiUE,2026-05-22T16:08:18Z,3547.9,114051,8383,207,597000,OK
Ed-AWrRSiUE,2026-05-22T18:08:29Z,3668.1,115323,8414,207,597000,OK
Ed-AWrRSiUE,2026-05-22T20:08:09Z,3787.8,116208,8424,207,597000,OK
Ed-AWrRSiUE,2026-05-22T22:08:02Z,3907.7,116705,8437,207,597000,OK
Ed-AWrRSiUE,2026-05-23T00:08:24Z,4028.0,117186,8462,207,597000,OK
