video_id,crawl_time,time_since_publish_minutes,view_count,like_count,comment_count,subscriber_count,video_status
HlyNFaERxKk,2026-05-10T11:17:08Z,1337.0,1691,70,3,779000,OK
HlyNFaERxKk,2026-05-10T14:49:56Z,1549.8,1948,82,3,779000,OK
HlyNFaERxKk,2026-05-10T17:44:06Z,1724.0,2507,88,3,779000,OK
HlyNFaERxKk,2026-05-10T21:47:36Z,1967.5,2707,88,3,779000,OK
HlyNFaERxKk,2026-05-11T02:05:30Z,2225.4,2844,91,3,779000,OK
HlyNFaERxKk,2026-05-11T07:28:07Z,2548.0,3149,96,3,779000,OK
HlyNFaERxKk,2026-05-11T14:11:21Z,2951.2,3526,106,5,779000,OK
HlyNFaERxKk,2026-05-11T22:06:05Z,3426.0,,113,5,779000,LOGIN_REQUIRED
HlyNFaERxKk,2026-05-13T07:29:36Z,5429.5,4717,130,6,779000,OK
HlyNFaERxKk,2026-05-13T23:54:49Z,6414.7,4969,136,6,779000,OK
