video_id,crawl_time,time_since_publish_minutes,view_count,like_count,comment_count,subscriber_count,video_status
I757cy6D5eA,2026-05-30T23:55:30Z,71.8,4,7,,2270,OK
I757cy6D5eA,2026-05-31T00:02:37Z,79.0,4,8,,2270,OK
I757cy6D5eA,2026-05-31T00:15:58Z,92.3,5,9,,2270,OK
I757cy6D5eA,2026-05-31T00:33:18Z,109.7,7,11,,2270,OK
I757cy6D5eA,2026-05-31T01:04:41Z,141.0,24,16,,2270,OK
I757cy6D5eA,2026-05-31T01:15:27Z,151.8,43,18,,2270,OK
I757cy6D5eA,2026-05-31T01:25:56Z,162.3,70,18,,2270,OK
I757cy6D5eA,2026-05-31T01:39:51Z,176.2,106,22,,2270,OK
I757cy6D5eA,2026-05-31T02:02:54Z,199.2,137,21,,2280,OK
I757cy6D5eA,2026-05-31T04:10:54Z,327.2,432,21,,2280,UNPLAYABLE
