video_id,crawl_time,time_since_publish_minutes,view_count,like_count,comment_count,subscriber_count,video_status
Jr5UxeW3KWw,2026-05-28T16:12:33Z,179.1,4,2,,1730,OK
Jr5UxeW3KWw,2026-05-28T16:18:43Z,185.3,4,2,,1730,OK
Jr5UxeW3KWw,2026-05-28T18:15:18Z,301.9,4,2,,1730,OK
Jr5UxeW3KWw,2026-05-28T20:19:16Z,425.8,5,2,,1730,OK
Jr5UxeW3KWw,2026-05-28T22:21:55Z,548.5,5,2,,1730,OK
Jr5UxeW3KWw,2026-05-29T00:25:30Z,672.0,5,2,,1730,OK
Jr5UxeW3KWw,2026-05-29T02:27:12Z,793.8,6,4,,1740,OK
Jr5UxeW3KWw,2026-05-29T04:26:45Z,913.3,8,4,,1740,OK
Jr5UxeW3KWw,2026-05-29T06:34:04Z,1040.6,12,4,,1740,OK
Jr5UxeW3KWw,2026-05-29T08:33:45Z,1160.3,18,4,,1740,OK
Jr5UxeW3KWw,2026-05-29T10:29:29Z,1276.0,22,4,,1740,OK
Jr5UxeW3KWw,2026-05-29T12:33:28Z,1400.0,23,4,,1740,OK
