video_id,crawl_time,time_since_publish_minutes,view_count,like_count,comment_count,subscriber_count,video_status
KPmfli72fQU,2026-06-05T00:37:31Z,15.3,473,33,3,9850000,OK
KPmfli72fQU,2026-06-05T00:46:41Z,24.5,1352,80,4,9850000,OK
KPmfli72fQU,2026-06-05T00:56:50Z,34.6,2336,139,6,9850000,OK
KPmfli72fQU,2026-06-05T01:07:37Z,45.4,3024,183,8,9850000,OK
KPmfli72fQU,2026-06-05T01:17:44Z,55.5,3481,213,9,9850000,OK
KPmfli72fQU,2026-06-05T01:27:23Z,65.2,3773,228,9,9850000,OK
KPmfli72fQU,2026-06-05T01:38:27Z,76.2,3976,247,10,9850000,OK
KPmfli72fQU,2026-06-05T01:47:14Z,85.0,4076,253,12,9850000,OK
KPmfli72fQU,2026-06-05T01:57:44Z,95.5,4139,253,12,9850000,OK
KPmfli72fQU,2026-06-05T02:07:15Z,105.0,4183,258,12,9850000,OK
KPmfli72fQU,2026-06-05T02:17:55Z,115.7,4263,262,12,9850000,OK
KPmfli72fQU,2026-06-05T02:26:49Z,124.6,4437,267,12,9850000,OK
KPmfli72fQU,2026-06-05T02:37:36Z,135.4,4513,272,14,9850000,OK
KPmfli72fQU,2026-06-05T02:47:01Z,144.8,4820,278,14,9850000,UNPLAYABLE
