video_id,crawl_time,time_since_publish_minutes,view_count,like_count,comment_count,subscriber_count,video_status
N-iUAdAaZlo,2026-05-08T18:21:54Z,3345.1,38634,220,93,4980000,OK
N-iUAdAaZlo,2026-05-08T20:22:31Z,3465.7,39907,223,97,4980000,OK
N-iUAdAaZlo,2026-05-08T22:21:48Z,3585.0,40966,231,98,4980000,OK
N-iUAdAaZlo,2026-05-09T00:22:47Z,3706.0,42656,238,99,4980000,OK
N-iUAdAaZlo,2026-05-09T02:21:59Z,3825.2,43778,245,99,4980000,OK
N-iUAdAaZlo,2026-05-09T04:22:58Z,3946.2,44404,246,99,4980000,OK
N-iUAdAaZlo,2026-05-09T06:24:08Z,4067.3,44775,250,100,4980000,OK
N-iUAdAaZlo,2026-05-09T08:24:09Z,4187.3,45230,252,101,4980000,OK
N-iUAdAaZlo,2026-05-09T10:23:06Z,4306.3,45942,258,102,4980000,OK
N-iUAdAaZlo,2026-05-09T12:24:22Z,4427.6,46662,257,102,4980000,OK
N-iUAdAaZlo,2026-05-09T18:35:43Z,4798.9,48297,259,104,4980000,OK
N-iUAdAaZlo,2026-05-10T11:09:38Z,5792.8,51346,277,109,4980000,OK
N-iUAdAaZlo,2026-05-10T19:49:46Z,6312.9,53448,286,111,4980000,OK
N-iUAdAaZlo,2026-05-11T01:31:30Z,6654.7,54147,291,111,4980000,OK
N-iUAdAaZlo,2026-05-11T08:50:54Z,7094.1,56345,298,112,4980000,OK
N-iUAdAaZlo,2026-05-11T16:07:44Z,7530.9,58632,307,114,4980000,OK
N-iUAdAaZlo,2026-05-11T23:18:11Z,7961.4,59293,310,115,4980000,OK
N-iUAdAaZlo,2026-05-12T10:53:34Z,8656.8,61757,335,120,4980000,OK
N-iUAdAaZlo,2026-05-12T19:35:14Z,9178.4,64224,340,123,4980000,OK
