video_id,crawl_time,time_since_publish_minutes,view_count,like_count,comment_count,subscriber_count,video_status
NqOK2sF1QnQ,2026-05-30T14:18:08Z,86.1,71,6,,6700,OK
NqOK2sF1QnQ,2026-05-30T14:45:34Z,113.6,102,8,,6700,OK
NqOK2sF1QnQ,2026-05-30T15:03:20Z,131.3,188,9,,6700,OK
NqOK2sF1QnQ,2026-05-30T15:13:07Z,141.1,254,9,,6700,OK
NqOK2sF1QnQ,2026-05-30T15:26:31Z,154.5,382,10,,6700,OK
NqOK2sF1QnQ,2026-05-30T15:49:24Z,177.4,530,12,,6710,OK
NqOK2sF1QnQ,2026-05-30T16:14:13Z,202.2,834,14,,6710,OK
NqOK2sF1QnQ,2026-05-30T18:14:02Z,322.0,2028,14,,6710,OK
NqOK2sF1QnQ,2026-05-30T20:16:33Z,444.6,2216,14,,6710,OK
NqOK2sF1QnQ,2026-05-30T22:04:59Z,553.0,2216,14,,6710,UNPLAYABLE
