video_id,crawl_time,time_since_publish_minutes,view_count,like_count,comment_count,subscriber_count,video_status
OGlvZtHMNC8,2026-05-31T01:41:58Z,41.8,0,0,,12,OK
OGlvZtHMNC8,2026-05-31T02:03:25Z,63.2,0,0,,12,OK
OGlvZtHMNC8,2026-05-31T02:26:35Z,86.4,0,0,,12,OK
OGlvZtHMNC8,2026-05-31T02:59:20Z,119.1,2,0,,12,OK
OGlvZtHMNC8,2026-05-31T03:13:55Z,133.7,2,0,,12,OK
OGlvZtHMNC8,2026-05-31T03:22:56Z,142.7,2,0,,12,OK
OGlvZtHMNC8,2026-05-31T03:35:07Z,154.9,2,0,,12,OK
OGlvZtHMNC8,2026-05-31T03:59:40Z,179.5,2,0,,12,OK
OGlvZtHMNC8,2026-05-31T04:30:08Z,209.9,2,0,,12,OK
OGlvZtHMNC8,2026-05-31T06:34:30Z,334.3,4,1,,12,OK
OGlvZtHMNC8,2026-05-31T08:32:21Z,452.1,4,1,,13,OK
OGlvZtHMNC8,2026-05-31T10:29:25Z,569.2,313,5,,15,OK
OGlvZtHMNC8,2026-05-31T12:17:06Z,676.9,439,6,,15,OK
OGlvZtHMNC8,2026-05-31T14:17:08Z,796.9,528,6,,15,OK
OGlvZtHMNC8,2026-05-31T16:12:04Z,911.9,556,6,,15,OK
OGlvZtHMNC8,2026-05-31T18:12:18Z,1032.1,607,6,,15,OK
OGlvZtHMNC8,2026-05-31T20:15:13Z,1155.0,607,6,,15,OK
OGlvZtHMNC8,2026-05-31T22:14:04Z,1273.9,607,6,,15,OK
OGlvZtHMNC8,2026-06-01T00:14:14Z,1394.0,647,7,,16,OK
OGlvZtHMNC8,2026-06-01T02:12:07Z,1511.9,647,7,,18,OK
OGlvZtHMNC8,2026-06-01T04:15:31Z,1635.3,652,7,,19,OK
OGlvZtHMNC8,2026-06-01T06:16:12Z,1756.0,654,7,,20,OK
OGlvZtHMNC8,2026-06-01T08:15:57Z,1875.8,654,7,,20,OK
OGlvZtHMNC8,2026-06-01T10:17:54Z,1997.7,669,7,,22,OK
OGlvZtHMNC8,2026-06-01T12:16:17Z,2116.1,674,7,,22,OK
OGlvZtHMNC8,2026-06-01T14:17:06Z,2236.9,674,7,,22,OK
OGlvZtHMNC8,2026-06-01T16:12:32Z,2352.3,696,7,,22,OK
OGlvZtHMNC8,2026-06-01T18:11:56Z,2471.7,702,7,,22,OK
OGlvZtHMNC8,2026-06-01T20:13:24Z,2593.2,719,7,,22,OK
OGlvZtHMNC8,2026-06-01T22:10:57Z,2710.8,720,7,,22,OK
OGlvZtHMNC8,2026-06-02T00:14:17Z,2834.1,724,7,,22,OK
OGlvZtHMNC8,2026-06-02T02:10:30Z,2950.3,724,7,,22,OK
OGlvZtHMNC8,2026-06-02T04:11:24Z,3071.2,724,7,,23,UNPLAYABLE
