video_id,crawl_time,time_since_publish_minutes,view_count,like_count,comment_count,subscriber_count,video_status
OefUITZa7Eg,2026-05-28T09:36:53Z,306.7,1556,104,50,11000,OK
OefUITZa7Eg,2026-05-28T11:34:43Z,424.6,2509,127,54,11000,OK
OefUITZa7Eg,2026-05-28T13:40:53Z,550.7,3600,145,57,11000,OK
OefUITZa7Eg,2026-05-28T15:41:34Z,671.4,4190,165,65,11000,OK
OefUITZa7Eg,2026-05-28T17:37:40Z,787.5,4680,181,68,11000,OK
OefUITZa7Eg,2026-05-28T19:38:20Z,908.2,5263,187,68,11000,OK
OefUITZa7Eg,2026-05-28T21:48:19Z,1038.2,5532,189,68,11000,OK
OefUITZa7Eg,2026-05-28T23:54:03Z,1163.9,5532,189,68,11000,OK
OefUITZa7Eg,2026-05-29T01:56:10Z,1286.0,5643,199,68,11000,OK
OefUITZa7Eg,2026-05-29T03:49:41Z,1399.5,5824,205,68,11000,OK
OefUITZa7Eg,2026-05-29T05:55:25Z,1525.2,6240,220,71,11000,OK
OefUITZa7Eg,2026-05-29T07:57:18Z,1647.1,6803,248,74,11000,OK
OefUITZa7Eg,2026-05-29T09:56:08Z,1766.0,7832,275,88,11000,OK
OefUITZa7Eg,2026-05-29T12:01:25Z,1891.2,9472,307,92,11100,OK
