video_id,crawl_time,time_since_publish_minutes,view_count,like_count,comment_count,subscriber_count,video_status
OkM46lyK8mA,2026-05-28T16:41:59Z,128.0,6,0,,45000,OK
OkM46lyK8mA,2026-05-28T16:52:09Z,138.2,30,0,,45000,OK
OkM46lyK8mA,2026-05-28T17:02:18Z,148.3,48,0,,45000,OK
OkM46lyK8mA,2026-05-28T17:11:19Z,157.3,48,0,,45000,OK
OkM46lyK8mA,2026-05-28T17:22:29Z,168.5,68,1,,45000,OK
OkM46lyK8mA,2026-05-28T17:35:03Z,181.1,72,1,,45000,OK
OkM46lyK8mA,2026-05-28T19:34:14Z,300.3,152,1,,45100,OK
OkM46lyK8mA,2026-05-28T21:42:50Z,428.9,224,1,,45100,OK
OkM46lyK8mA,2026-05-28T23:47:21Z,553.4,289,4,,45100,OK
OkM46lyK8mA,2026-05-29T01:48:24Z,674.4,369,5,,45199,OK
OkM46lyK8mA,2026-05-29T03:45:16Z,791.3,457,6,,45199,OK
OkM46lyK8mA,2026-05-29T05:51:23Z,917.4,574,6,,45300,OK
OkM46lyK8mA,2026-05-29T07:53:15Z,1039.3,639,7,,45400,OK
OkM46lyK8mA,2026-05-29T09:53:31Z,1159.5,820,10,,45400,OK
OkM46lyK8mA,2026-05-29T11:56:58Z,1283.0,956,9,,45500,OK
