video_id,crawl_time,time_since_publish_minutes,view_count,like_count,comment_count,subscriber_count,video_status
SNwGGvcWiK8,2026-06-05T12:55:59Z,119.1,474,5,2,975000,OK
SNwGGvcWiK8,2026-06-05T13:08:13Z,131.3,498,5,2,975000,OK
SNwGGvcWiK8,2026-06-05T13:15:30Z,138.6,519,5,2,975000,OK
SNwGGvcWiK8,2026-06-05T13:26:51Z,150.0,552,6,2,975000,OK
SNwGGvcWiK8,2026-06-05T13:36:45Z,159.9,589,6,2,975000,OK
SNwGGvcWiK8,2026-06-05T13:46:03Z,169.2,612,6,2,975000,OK
SNwGGvcWiK8,2026-06-05T13:55:35Z,178.7,646,6,2,975000,OK
SNwGGvcWiK8,2026-06-05T13:57:12Z,180.3,649,6,2,975000,OK
SNwGGvcWiK8,2026-06-05T15:57:27Z,300.6,950,7,2,975000,OK
SNwGGvcWiK8,2026-06-05T17:57:33Z,420.7,1180,8,2,975000,OK
SNwGGvcWiK8,2026-06-05T19:57:55Z,541.0,1346,9,2,975000,OK
SNwGGvcWiK8,2026-06-05T21:57:07Z,660.2,1472,10,2,975000,OK
SNwGGvcWiK8,2026-06-05T23:58:26Z,781.5,1577,10,2,975000,OK
SNwGGvcWiK8,2026-06-06T01:57:16Z,900.4,1709,10,2,975000,OK
SNwGGvcWiK8,2026-06-06T03:57:23Z,1020.5,1775,11,2,975000,OK
SNwGGvcWiK8,2026-06-06T05:58:36Z,1141.7,1917,11,3,975000,OK
SNwGGvcWiK8,2026-06-06T07:57:12Z,1260.3,1995,12,3,975000,OK
SNwGGvcWiK8,2026-06-06T09:57:14Z,1380.3,2174,13,3,975000,OK
SNwGGvcWiK8,2026-06-06T11:57:06Z,1500.2,2277,13,3,975000,OK
SNwGGvcWiK8,2026-06-06T13:57:15Z,1620.4,2405,13,3,975000,OK
SNwGGvcWiK8,2026-06-06T15:57:40Z,1740.8,2485,14,3,975000,OK
SNwGGvcWiK8,2026-06-06T17:57:18Z,1860.4,2535,15,3,975000,OK
SNwGGvcWiK8,2026-06-06T19:57:09Z,1980.3,2551,15,3,975000,OK
SNwGGvcWiK8,2026-06-06T21:57:32Z,2100.7,2590,15,3,975000,OK
SNwGGvcWiK8,2026-06-06T23:56:56Z,2220.1,2590,15,3,975000,OK
SNwGGvcWiK8,2026-06-07T01:57:19Z,2340.4,2650,15,3,975000,OK
SNwGGvcWiK8,2026-06-07T03:59:18Z,2462.4,2743,16,3,975000,OK
SNwGGvcWiK8,2026-06-07T05:57:49Z,2580.9,2754,16,3,975000,OK
SNwGGvcWiK8,2026-06-07T07:57:00Z,2700.1,2825,20,3,975000,OK
SNwGGvcWiK8,2026-06-07T09:57:05Z,2820.2,2950,23,3,975000,OK
SNwGGvcWiK8,2026-06-07T10:57:17Z,2880.4,2995,24,3,975000,OK
SNwGGvcWiK8,2026-06-07T12:57:11Z,3000.3,3090,24,3,975000,OK
SNwGGvcWiK8,2026-06-07T14:57:10Z,3120.3,3202,25,4,975000,OK
SNwGGvcWiK8,2026-06-07T16:57:25Z,3240.5,3275,26,4,975000,OK
SNwGGvcWiK8,2026-06-07T18:57:21Z,3360.5,3309,26,4,975000,OK
SNwGGvcWiK8,2026-06-07T20:58:03Z,3481.2,3309,27,4,975000,OK
SNwGGvcWiK8,2026-06-07T22:57:03Z,3600.2,3423,30,4,975000,OK
SNwGGvcWiK8,2026-06-08T00:56:55Z,3720.0,3552,31,5,975000,OK
SNwGGvcWiK8,2026-06-08T02:57:05Z,3840.2,3655,33,5,975000,OK
SNwGGvcWiK8,2026-06-08T04:58:46Z,3961.9,3836,36,5,975000,OK
SNwGGvcWiK8,2026-06-08T06:57:10Z,4080.3,3995,38,5,975000,OK
SNwGGvcWiK8,2026-06-08T08:57:11Z,4200.3,4073,38,6,975000,OK
SNwGGvcWiK8,2026-06-08T10:58:44Z,4321.9,4137,39,6,975000,OK
SNwGGvcWiK8,2026-06-08T16:57:32Z,4680.6,4205,39,6,975000,OK
