video_id,crawl_time,time_since_publish_minutes,view_count,like_count,comment_count,subscriber_count,video_status
TiRGGIL7k30,2026-06-06T21:06:44Z,126.6,1,0,,915,OK
TiRGGIL7k30,2026-06-06T21:14:53Z,134.8,1,0,,915,OK
TiRGGIL7k30,2026-06-06T21:24:39Z,144.5,1,0,,915,OK
TiRGGIL7k30,2026-06-06T21:33:56Z,153.8,1,0,,915,OK
TiRGGIL7k30,2026-06-06T21:44:20Z,164.2,1,0,,915,OK
TiRGGIL7k30,2026-06-06T21:53:59Z,173.8,1,0,,915,OK
TiRGGIL7k30,2026-06-06T22:00:39Z,180.5,1,0,,915,OK
TiRGGIL7k30,2026-06-07T00:01:33Z,301.4,1,0,,915,OK
TiRGGIL7k30,2026-06-07T02:01:32Z,421.4,1,0,,917,OK
TiRGGIL7k30,2026-06-07T04:02:19Z,542.2,4,0,,919,OK
TiRGGIL7k30,2026-06-07T06:02:06Z,662.0,6,1,,919,OK
TiRGGIL7k30,2026-06-07T08:02:51Z,782.7,7,1,,921,OK
TiRGGIL7k30,2026-06-07T10:00:37Z,900.5,8,1,,924,OK
TiRGGIL7k30,2026-06-07T12:01:57Z,1021.8,9,1,,928,OK
TiRGGIL7k30,2026-06-07T14:01:00Z,1140.9,12,1,,934,OK
TiRGGIL7k30,2026-06-07T16:01:55Z,1261.8,14,1,,937,OK
TiRGGIL7k30,2026-06-07T18:00:59Z,1380.8,14,1,,936,OK
TiRGGIL7k30,2026-06-07T20:01:58Z,1501.8,14,1,,936,OK
TiRGGIL7k30,2026-06-07T22:01:07Z,1621.0,14,1,,936,OK
TiRGGIL7k30,2026-06-08T00:01:00Z,1740.9,14,1,,937,OK
TiRGGIL7k30,2026-06-08T02:01:09Z,1861.0,14,1,,938,OK
TiRGGIL7k30,2026-06-08T04:01:18Z,1981.2,14,1,,939,OK
TiRGGIL7k30,2026-06-08T06:01:13Z,2101.1,14,1,,943,OK
TiRGGIL7k30,2026-06-08T08:02:36Z,2222.5,14,1,,945,OK
TiRGGIL7k30,2026-06-08T10:01:19Z,2341.2,14,1,,946,OK
TiRGGIL7k30,2026-06-08T12:00:50Z,2460.7,14,1,,953,OK
TiRGGIL7k30,2026-06-08T14:01:15Z,2581.1,14,1,,960,OK
TiRGGIL7k30,2026-06-08T16:00:59Z,2700.8,15,1,,963,OK
TiRGGIL7k30,2026-06-08T18:02:21Z,2822.2,15,1,,963,OK
TiRGGIL7k30,2026-06-08T19:01:10Z,2881.0,15,1,,963,OK
TiRGGIL7k30,2026-06-08T21:01:26Z,3001.3,15,1,,964,OK
TiRGGIL7k30,2026-06-08T23:01:11Z,3121.1,15,1,,964,OK
TiRGGIL7k30,2026-06-09T01:01:23Z,3241.2,15,1,,964,OK
TiRGGIL7k30,2026-06-09T03:01:15Z,3361.1,15,1,,967,OK
TiRGGIL7k30,2026-06-09T05:01:55Z,3481.8,15,1,,968,OK
TiRGGIL7k30,2026-06-09T07:01:11Z,3601.1,15,1,,969,OK
TiRGGIL7k30,2026-06-09T09:01:16Z,3721.1,15,1,,973,OK
TiRGGIL7k30,2026-06-09T11:01:08Z,3841.0,15,1,,970,OK
TiRGGIL7k30,2026-06-09T13:01:02Z,3960.9,15,1,,981,OK
TiRGGIL7k30,2026-06-09T15:01:10Z,4081.0,15,1,,991,OK
TiRGGIL7k30,2026-06-09T17:03:30Z,4203.4,15,1,,1000,OK
TiRGGIL7k30,2026-06-09T19:01:07Z,4321.0,15,1,,1000,OK
TiRGGIL7k30,2026-06-10T01:00:58Z,4680.8,15,1,,1000,OK
