video_id,crawl_time,time_since_publish_minutes,view_count,like_count,comment_count,subscriber_count,video_status
U-q44uU-5DI,2026-05-30T22:13:36Z,72.3,8,38,,1860,OK
U-q44uU-5DI,2026-05-30T22:26:27Z,85.1,8,43,,1860,OK
U-q44uU-5DI,2026-05-30T22:49:32Z,108.2,29,59,,1860,OK
U-q44uU-5DI,2026-05-30T23:00:37Z,119.3,55,57,,1860,OK
U-q44uU-5DI,2026-05-30T23:10:47Z,129.4,140,62,,1860,OK
U-q44uU-5DI,2026-05-30T23:20:04Z,138.7,197,63,,1860,OK
U-q44uU-5DI,2026-05-30T23:31:26Z,150.1,254,65,,1860,OK
U-q44uU-5DI,2026-05-30T23:45:34Z,164.2,315,68,,1860,OK
U-q44uU-5DI,2026-05-30T23:55:53Z,174.6,377,69,,1860,OK
U-q44uU-5DI,2026-05-31T00:02:58Z,181.6,419,69,,1860,OK
U-q44uU-5DI,2026-05-31T02:08:10Z,306.8,990,81,,1860,OK
U-q44uU-5DI,2026-05-31T04:17:25Z,436.1,,82,,1860,UNPLAYABLE
