video_id,crawl_time,time_since_publish_minutes,view_count,like_count,comment_count,subscriber_count,video_status
UUV2cJaarLI,2026-05-18T13:14:04Z,12.4,2,1,,1940,OK
UUV2cJaarLI,2026-05-18T13:23:45Z,22.1,3,1,,1940,OK
UUV2cJaarLI,2026-05-18T13:34:12Z,32.5,3,1,,1940,OK
UUV2cJaarLI,2026-05-18T13:43:52Z,42.2,4,1,,1940,OK
UUV2cJaarLI,2026-05-18T13:53:42Z,52.0,8,1,,1940,OK
UUV2cJaarLI,2026-05-18T14:04:44Z,63.0,14,1,,1940,OK
UUV2cJaarLI,2026-05-18T14:13:30Z,71.8,14,1,,1940,OK
UUV2cJaarLI,2026-05-18T14:23:52Z,82.2,14,1,,1940,OK
UUV2cJaarLI,2026-05-18T14:33:36Z,91.9,15,1,,1940,OK
UUV2cJaarLI,2026-05-18T14:44:03Z,102.3,15,1,,1940,OK
UUV2cJaarLI,2026-05-18T14:53:33Z,111.8,15,1,,1940,OK
UUV2cJaarLI,2026-05-18T15:04:24Z,122.7,15,1,,1940,OK
UUV2cJaarLI,2026-05-18T15:14:03Z,132.3,15,1,,1940,OK
UUV2cJaarLI,2026-05-18T15:23:39Z,141.9,15,1,,1940,OK
UUV2cJaarLI,2026-05-18T15:33:35Z,151.9,16,2,,1940,OK
UUV2cJaarLI,2026-05-18T15:44:02Z,162.3,16,2,,1940,OK
UUV2cJaarLI,2026-05-18T15:53:41Z,172.0,16,2,,1940,OK
UUV2cJaarLI,2026-05-18T16:04:14Z,182.5,16,2,,1940,OK
UUV2cJaarLI,2026-05-18T18:03:54Z,302.2,16,2,,1940,OK
UUV2cJaarLI,2026-05-18T20:03:42Z,422.0,23,2,,1940,OK
UUV2cJaarLI,2026-05-18T22:03:52Z,542.2,24,2,,1940,OK
UUV2cJaarLI,2026-05-19T00:03:52Z,662.2,23,2,,1940,OK
UUV2cJaarLI,2026-05-19T02:04:15Z,782.5,28,2,,1940,OK
UUV2cJaarLI,2026-05-19T04:04:00Z,902.3,34,2,,1940,OK
UUV2cJaarLI,2026-05-19T06:04:38Z,1022.9,36,2,,1940,OK
UUV2cJaarLI,2026-05-19T08:05:31Z,1143.8,37,2,,1940,OK
UUV2cJaarLI,2026-05-19T10:03:47Z,1262.1,37,2,,1940,OK
UUV2cJaarLI,2026-05-19T12:04:21Z,1382.7,37,2,,1950,OK
UUV2cJaarLI,2026-05-19T14:04:14Z,1502.5,41,2,,1950,OK
UUV2cJaarLI,2026-05-19T16:03:58Z,1622.3,41,2,,1950,OK
UUV2cJaarLI,2026-05-19T18:03:39Z,1742.0,41,2,,1950,OK
UUV2cJaarLI,2026-05-19T20:03:35Z,1861.9,41,2,,1950,OK
UUV2cJaarLI,2026-05-19T22:04:06Z,1982.4,43,2,,1950,OK
UUV2cJaarLI,2026-05-20T00:04:06Z,2102.4,43,2,,1950,OK
UUV2cJaarLI,2026-05-20T02:04:07Z,2222.4,43,2,,1950,OK
UUV2cJaarLI,2026-05-20T04:04:14Z,2342.5,45,2,,1950,OK
UUV2cJaarLI,2026-05-20T06:04:14Z,2462.5,47,2,,1950,OK
UUV2cJaarLI,2026-05-20T08:04:14Z,2582.5,47,2,,1950,OK
UUV2cJaarLI,2026-05-20T10:03:59Z,2702.3,48,2,,1950,OK
UUV2cJaarLI,2026-05-20T12:04:46Z,2823.1,48,2,,1950,OK
