video_id,crawl_time,time_since_publish_minutes,view_count,like_count,comment_count,subscriber_count,video_status
YS2Iv5Dv83g,2026-05-09T18:02:31Z,75.2,17292,594,,6890000,OK
YS2Iv5Dv83g,2026-05-09T18:25:15Z,97.9,20264,687,,6890000,OK
YS2Iv5Dv83g,2026-05-09T18:51:46Z,124.4,23147,782,,6890000,OK
YS2Iv5Dv83g,2026-05-09T19:16:14Z,148.9,27959,856,,6890000,OK
YS2Iv5Dv83g,2026-05-09T19:41:23Z,174.0,33435,926,,6890000,OK
YS2Iv5Dv83g,2026-05-09T20:08:18Z,200.9,38427,979,,6890000,OK
YS2Iv5Dv83g,2026-05-09T22:14:32Z,327.2,65664,1102,13,6890000,OK
YS2Iv5Dv83g,2026-05-10T10:28:46Z,1061.4,88911,1288,22,6890000,OK
YS2Iv5Dv83g,2026-05-10T13:54:39Z,1267.3,91490,1314,28,6890000,OK
YS2Iv5Dv83g,2026-05-10T16:17:12Z,1409.8,93124,1326,29,6890000,OK
YS2Iv5Dv83g,2026-05-10T19:17:44Z,1590.4,95373,1342,29,6890000,OK
YS2Iv5Dv83g,2026-05-11T00:21:42Z,1894.3,97444,1359,29,6890000,OK
YS2Iv5Dv83g,2026-05-11T05:32:53Z,2205.5,98970,1373,29,6890000,OK
YS2Iv5Dv83g,2026-05-11T11:50:51Z,2583.5,100272,1382,32,6890000,OK
YS2Iv5Dv83g,2026-05-11T19:17:10Z,3029.8,101559,1371,33,6890000,OK
YS2Iv5Dv83g,2026-05-12T04:25:54Z,3578.6,102769,1378,33,6890000,OK
YS2Iv5Dv83g,2026-05-12T12:13:59Z,4046.6,103540,1386,33,6890000,OK
YS2Iv5Dv83g,2026-05-12T23:00:20Z,4693.0,104434,1395,34,6890000,OK
YS2Iv5Dv83g,2026-05-13T16:25:12Z,5737.9,105366,1403,35,6890000,OK
YS2Iv5Dv83g,2026-05-14T02:30:34Z,6343.2,105676,1403,35,6890000,OK
