video_id,crawl_time,time_since_publish_minutes,view_count,like_count,comment_count,subscriber_count,video_status
YgXVHFnBiUY,2026-05-19T03:47:49Z,16.1,565,32,2,2080000,OK
YgXVHFnBiUY,2026-05-19T03:57:49Z,26.1,846,39,3,2080000,OK
YgXVHFnBiUY,2026-05-19T04:08:11Z,36.4,1092,56,3,2080000,OK
YgXVHFnBiUY,2026-05-19T04:17:48Z,46.0,1296,68,3,2080000,OK
YgXVHFnBiUY,2026-05-19T04:28:03Z,56.3,1531,76,3,2080000,OK
YgXVHFnBiUY,2026-05-19T04:38:02Z,66.3,1699,86,3,2080000,OK
YgXVHFnBiUY,2026-05-19T04:48:03Z,76.3,1847,91,3,2080000,OK
YgXVHFnBiUY,2026-05-19T04:57:51Z,86.1,1950,97,4,2080000,OK
YgXVHFnBiUY,2026-05-19T05:08:06Z,96.3,2049,104,4,2080000,OK
YgXVHFnBiUY,2026-05-19T05:17:53Z,106.1,2179,111,4,2080000,OK
YgXVHFnBiUY,2026-05-19T05:28:08Z,116.4,2323,119,4,2080000,OK
YgXVHFnBiUY,2026-05-19T05:37:52Z,126.1,2495,120,4,2080000,OK
YgXVHFnBiUY,2026-05-19T05:47:57Z,136.2,2669,123,4,2080000,OK
YgXVHFnBiUY,2026-05-19T05:57:58Z,146.2,2829,127,4,2080000,OK
YgXVHFnBiUY,2026-05-19T06:07:57Z,156.2,2953,133,4,2080000,OK
YgXVHFnBiUY,2026-05-19T06:17:42Z,165.9,3075,135,4,2080000,OK
YgXVHFnBiUY,2026-05-19T06:27:44Z,176.0,3200,136,4,2080000,OK
YgXVHFnBiUY,2026-05-19T06:38:06Z,186.3,3346,140,4,2080000,OK
YgXVHFnBiUY,2026-05-19T08:37:53Z,306.1,5104,169,9,2080000,OK
YgXVHFnBiUY,2026-05-19T10:38:15Z,426.5,6452,191,11,2080000,OK
YgXVHFnBiUY,2026-05-19T12:37:56Z,546.2,7482,203,11,2080000,OK
YgXVHFnBiUY,2026-05-19T14:37:53Z,666.1,8326,223,11,2080000,OK
YgXVHFnBiUY,2026-05-19T16:38:10Z,786.4,9145,234,11,2080000,OK
YgXVHFnBiUY,2026-05-19T18:39:56Z,908.2,9861,243,11,2080000,OK
YgXVHFnBiUY,2026-05-19T20:38:00Z,1026.2,10273,244,11,2080000,OK
YgXVHFnBiUY,2026-05-19T22:38:21Z,1146.6,10505,248,11,2080000,OK
YgXVHFnBiUY,2026-05-20T00:38:11Z,1266.4,10738,254,11,2080000,OK
YgXVHFnBiUY,2026-05-20T02:38:22Z,1386.6,10950,258,11,2080000,OK
YgXVHFnBiUY,2026-05-20T04:37:49Z,1506.1,11131,259,11,2080000,OK
YgXVHFnBiUY,2026-05-20T06:37:48Z,1626.0,11355,263,11,2080000,OK
YgXVHFnBiUY,2026-05-20T08:38:01Z,1746.3,11538,267,11,2080000,OK
YgXVHFnBiUY,2026-05-20T10:38:04Z,1866.3,11757,272,11,2080000,OK
YgXVHFnBiUY,2026-05-20T12:38:15Z,1986.5,11952,273,11,2080000,OK
