video_id,crawl_time,time_since_publish_minutes,view_count,like_count,comment_count,subscriber_count,video_status
ZFRSHi6oKOc,2026-05-30T03:00:47Z,75.3,12,0,,249,OK
ZFRSHi6oKOc,2026-05-30T03:24:45Z,99.3,15,0,,249,OK
ZFRSHi6oKOc,2026-05-30T03:47:50Z,122.4,17,1,,249,OK
ZFRSHi6oKOc,2026-05-30T04:17:41Z,152.2,22,2,3,250,OK
ZFRSHi6oKOc,2026-05-30T04:47:27Z,182.0,27,4,4,250,OK
ZFRSHi6oKOc,2026-05-30T06:46:51Z,301.4,34,5,4,250,OK
ZFRSHi6oKOc,2026-05-30T08:49:31Z,424.1,52,7,4,250,OK
ZFRSHi6oKOc,2026-05-30T10:44:49Z,539.4,62,9,4,251,OK
ZFRSHi6oKOc,2026-05-30T12:58:29Z,673.0,90,9,5,251,OK
ZFRSHi6oKOc,2026-05-30T14:45:22Z,779.9,97,10,6,252,OK
ZFRSHi6oKOc,2026-05-30T16:47:53Z,902.5,103,11,7,253,OK
ZFRSHi6oKOc,2026-05-30T18:46:59Z,1021.5,103,11,7,254,OK
ZFRSHi6oKOc,2026-05-30T20:50:53Z,1145.5,113,11,7,254,OK
ZFRSHi6oKOc,2026-05-30T22:40:37Z,1255.2,113,11,7,254,OK
ZFRSHi6oKOc,2026-05-31T00:47:06Z,1381.7,129,11,7,254,OK
ZFRSHi6oKOc,2026-05-31T02:44:15Z,1498.8,129,11,9,254,OK
ZFRSHi6oKOc,2026-05-31T04:55:36Z,1630.2,129,11,9,254,OK
ZFRSHi6oKOc,2026-05-31T06:57:22Z,1751.9,140,11,10,254,OK
ZFRSHi6oKOc,2026-05-31T09:08:00Z,1882.6,149,12,10,255,OK
ZFRSHi6oKOc,2026-05-31T10:54:22Z,1988.9,149,12,10,255,UNPLAYABLE
