video_id,crawl_time,time_since_publish_minutes,view_count,like_count,comment_count,subscriber_count,video_status
ZmTqRETUNCQ,2026-05-08T14:53:52Z,19.1,114,23,,85600,OK
ZmTqRETUNCQ,2026-05-08T15:03:19Z,28.6,267,36,,85600,OK
ZmTqRETUNCQ,2026-05-08T15:14:59Z,40.2,413,51,,85600,OK
ZmTqRETUNCQ,2026-05-08T15:23:28Z,48.7,436,57,,85600,OK
ZmTqRETUNCQ,2026-05-08T15:34:00Z,59.2,527,57,1,85600,OK
ZmTqRETUNCQ,2026-05-08T15:43:51Z,69.1,527,57,1,85600,OK
ZmTqRETUNCQ,2026-05-08T15:54:05Z,79.3,527,57,1,85600,OK
ZmTqRETUNCQ,2026-05-08T16:03:28Z,88.7,527,56,1,85600,OK
ZmTqRETUNCQ,2026-05-08T16:13:57Z,99.2,600,57,1,85600,OK
ZmTqRETUNCQ,2026-05-08T16:23:48Z,109.0,638,57,2,85600,OK
ZmTqRETUNCQ,2026-05-08T16:35:07Z,120.3,953,58,2,85600,OK
ZmTqRETUNCQ,2026-05-08T16:43:31Z,128.8,1900,61,3,85600,OK
ZmTqRETUNCQ,2026-05-08T16:54:16Z,139.5,6751,61,7,85600,OK
ZmTqRETUNCQ,2026-05-08T17:04:24Z,149.6,9943,62,8,85600,OK
ZmTqRETUNCQ,2026-05-08T17:14:46Z,160.0,12484,62,8,85600,OK
ZmTqRETUNCQ,2026-05-08T17:23:28Z,168.7,12849,63,8,85600,OK
ZmTqRETUNCQ,2026-05-08T17:34:08Z,179.4,13732,63,8,85600,OK
ZmTqRETUNCQ,2026-05-08T17:43:26Z,188.7,14001,63,8,85600,OK
ZmTqRETUNCQ,2026-05-08T19:43:18Z,308.5,14263,65,8,85600,OK
ZmTqRETUNCQ,2026-05-08T21:44:12Z,429.4,14279,65,8,85600,OK
ZmTqRETUNCQ,2026-05-08T23:43:58Z,549.2,14279,65,8,85600,OK
ZmTqRETUNCQ,2026-05-09T01:45:09Z,670.4,14324,65,8,85600,OK
ZmTqRETUNCQ,2026-05-09T03:43:54Z,789.1,14326,65,8,85600,OK
ZmTqRETUNCQ,2026-05-09T05:44:27Z,909.7,14356,66,8,85600,OK
ZmTqRETUNCQ,2026-05-09T07:43:58Z,1029.2,14375,66,8,85600,OK
ZmTqRETUNCQ,2026-05-09T09:45:49Z,1151.0,14423,67,8,85600,OK
ZmTqRETUNCQ,2026-05-09T11:47:36Z,1272.8,14430,67,8,85600,OK
ZmTqRETUNCQ,2026-05-09T13:50:45Z,1396.0,14446,67,8,85600,OK
ZmTqRETUNCQ,2026-05-09T15:58:50Z,1524.1,14473,67,8,85600,OK
ZmTqRETUNCQ,2026-05-09T17:57:29Z,1642.7,14473,68,8,85600,OK
ZmTqRETUNCQ,2026-05-09T19:59:37Z,1764.8,14494,68,8,85600,OK
ZmTqRETUNCQ,2026-05-09T22:04:21Z,1889.6,14483,68,8,85600,OK
ZmTqRETUNCQ,2026-05-10T00:13:30Z,2018.7,14516,68,8,85600,OK
ZmTqRETUNCQ,2026-05-10T13:07:29Z,2792.7,14528,68,8,85600,OK
ZmTqRETUNCQ,2026-05-10T17:29:10Z,3054.4,14536,68,8,85600,OK
ZmTqRETUNCQ,2026-05-10T21:31:03Z,3296.3,14536,68,8,85700,OK
ZmTqRETUNCQ,2026-05-11T01:42:13Z,3547.4,14540,68,8,85700,OK
ZmTqRETUNCQ,2026-05-11T07:06:14Z,3871.5,14542,69,8,85700,OK
ZmTqRETUNCQ,2026-05-11T13:41:56Z,4267.2,14550,69,8,85700,OK
ZmTqRETUNCQ,2026-05-11T21:26:38Z,4731.9,,69,9,85700,LOGIN_REQUIRED
ZmTqRETUNCQ,2026-05-13T06:59:27Z,6744.7,14568,69,9,85700,OK
ZmTqRETUNCQ,2026-05-13T23:22:02Z,7727.3,14572,69,9,85700,OK
