video_id,crawl_time,time_since_publish_minutes,view_count,like_count,comment_count,subscriber_count,video_status
dOWBMhMpIQw,2026-06-04T11:06:07Z,20.4,52,3,,14600,OK
dOWBMhMpIQw,2026-06-04T11:15:03Z,29.4,88,6,,14600,OK
dOWBMhMpIQw,2026-06-04T11:26:25Z,40.7,152,6,,14600,OK
dOWBMhMpIQw,2026-06-04T11:35:18Z,49.6,177,6,,14600,OK
dOWBMhMpIQw,2026-06-04T11:46:35Z,60.9,234,6,,14600,OK
dOWBMhMpIQw,2026-06-04T11:57:21Z,71.7,276,7,,14600,OK
dOWBMhMpIQw,2026-06-04T12:06:36Z,80.9,298,9,,14600,OK
dOWBMhMpIQw,2026-06-04T12:16:46Z,91.1,365,11,,14600,OK
dOWBMhMpIQw,2026-06-04T12:25:26Z,99.7,396,12,,14600,OK
dOWBMhMpIQw,2026-06-04T12:36:49Z,111.1,425,14,,14600,UNPLAYABLE
