video_id,crawl_time,time_since_publish_minutes,view_count,like_count,comment_count,subscriber_count,video_status
gt41FEOB4T0,2026-05-30T23:05:25Z,24.0,11,0,,53300,OK
gt41FEOB4T0,2026-05-30T23:15:16Z,33.9,14,0,,53300,OK
gt41FEOB4T0,2026-05-30T23:25:02Z,43.6,20,1,,53300,OK
gt41FEOB4T0,2026-05-30T23:38:49Z,57.4,24,1,,53300,OK
gt41FEOB4T0,2026-05-30T23:52:38Z,71.2,35,1,,53300,OK
gt41FEOB4T0,2026-05-30T23:59:30Z,78.1,40,1,,53300,OK
gt41FEOB4T0,2026-05-31T00:09:07Z,87.7,48,1,,53300,OK
gt41FEOB4T0,2026-05-31T00:28:31Z,107.1,60,1,,53300,OK
gt41FEOB4T0,2026-05-31T00:58:54Z,137.5,75,1,,53300,OK
gt41FEOB4T0,2026-05-31T01:10:57Z,149.6,82,2,,53300,UNPLAYABLE
