video_id,crawl_time,time_since_publish_minutes,view_count,like_count,comment_count,subscriber_count,video_status
h-cUIPLBvmA,2026-05-09T07:29:46Z,5344.9,10170,325,,891000,OK
h-cUIPLBvmA,2026-05-09T13:32:57Z,5708.1,11422,341,1,891000,OK
h-cUIPLBvmA,2026-05-09T19:43:14Z,6078.4,11518,344,1,891000,OK
h-cUIPLBvmA,2026-05-10T12:40:40Z,7095.8,11900,347,1,892000,OK
h-cUIPLBvmA,2026-05-10T20:14:50Z,7549.9,11906,349,1,893000,OK
h-cUIPLBvmA,2026-05-11T03:08:03Z,7963.2,11935,349,1,893000,OK
h-cUIPLBvmA,2026-05-11T10:28:37Z,8403.7,11972,351,1,893000,OK
h-cUIPLBvmA,2026-05-11T17:49:27Z,8844.6,11982,350,1,893000,OK
h-cUIPLBvmA,2026-05-12T01:07:00Z,9282.1,11996,352,1,893000,OK
h-cUIPLBvmA,2026-05-12T13:12:50Z,10008.0,12008,352,1,893000,OK
