video_id,crawl_time,time_since_publish_minutes,view_count,like_count,comment_count,subscriber_count,video_status
hpFQID38kAA,2026-05-28T07:59:32Z,160.9,103,10,2,117000,OK
hpFQID38kAA,2026-05-28T08:09:44Z,171.1,113,9,2,117000,OK
hpFQID38kAA,2026-05-28T08:20:16Z,181.6,121,10,3,117000,OK
hpFQID38kAA,2026-05-28T10:23:25Z,304.8,171,11,4,117000,OK
hpFQID38kAA,2026-05-28T12:21:25Z,422.8,217,13,4,117000,OK
hpFQID38kAA,2026-05-28T14:25:36Z,546.9,263,15,4,117000,OK
hpFQID38kAA,2026-05-28T16:22:23Z,663.7,293,17,4,117000,OK
hpFQID38kAA,2026-05-28T18:21:50Z,783.2,293,17,4,117000,OK
hpFQID38kAA,2026-05-28T20:24:38Z,906.0,329,17,4,117000,OK
hpFQID38kAA,2026-05-28T22:26:23Z,1027.7,329,17,4,117000,OK
hpFQID38kAA,2026-05-29T00:30:43Z,1152.0,344,17,4,117000,OK
hpFQID38kAA,2026-05-29T02:30:20Z,1271.7,357,17,5,117000,OK
hpFQID38kAA,2026-05-29T04:31:38Z,1393.0,380,18,5,117000,OK
hpFQID38kAA,2026-05-29T06:37:19Z,1518.7,395,19,5,117000,OK
hpFQID38kAA,2026-05-29T08:38:14Z,1639.6,415,19,5,117000,OK
hpFQID38kAA,2026-05-29T10:34:14Z,1755.6,417,19,5,117000,OK
hpFQID38kAA,2026-05-29T12:37:08Z,1878.5,417,19,5,117000,OK
