video_id,crawl_time,time_since_publish_minutes,view_count,like_count,comment_count,subscriber_count,video_status
imqOEKmoYaM,2026-05-17T20:50:47Z,120.8,429,134,14,90300,OK
imqOEKmoYaM,2026-05-17T21:00:50Z,130.8,456,148,14,90300,OK
imqOEKmoYaM,2026-05-17T21:10:43Z,140.7,492,155,16,90300,OK
imqOEKmoYaM,2026-05-17T21:21:01Z,151.0,532,162,18,90300,OK
imqOEKmoYaM,2026-05-17T21:30:59Z,161.0,573,172,20,90300,OK
imqOEKmoYaM,2026-05-17T21:40:52Z,170.9,615,176,20,90300,OK
imqOEKmoYaM,2026-05-17T21:51:02Z,181.0,656,178,22,90300,OK
imqOEKmoYaM,2026-05-17T23:50:57Z,300.9,1080,233,30,90300,OK
imqOEKmoYaM,2026-05-18T01:50:48Z,420.8,1535,270,33,90300,OK
imqOEKmoYaM,2026-05-18T03:50:56Z,540.9,1897,298,36,90300,OK
imqOEKmoYaM,2026-05-18T05:51:08Z,661.1,2192,326,40,90300,OK
imqOEKmoYaM,2026-05-18T07:50:55Z,780.9,2358,334,41,90300,OK
imqOEKmoYaM,2026-05-18T09:50:40Z,900.7,2445,347,42,90300,OK
imqOEKmoYaM,2026-05-18T11:50:49Z,1020.8,2500,367,42,90300,OK
imqOEKmoYaM,2026-05-18T13:50:58Z,1141.0,2618,392,45,90300,OK
imqOEKmoYaM,2026-05-18T15:50:56Z,1260.9,2786,412,58,90300,OK
imqOEKmoYaM,2026-05-18T17:50:46Z,1380.8,2947,413,62,90300,OK
imqOEKmoYaM,2026-05-18T19:50:51Z,1500.8,3094,427,65,90300,OK
imqOEKmoYaM,2026-05-18T21:50:57Z,1621.0,3358,455,74,90300,OK
imqOEKmoYaM,2026-05-18T23:50:41Z,1740.7,3700,472,74,90300,OK
imqOEKmoYaM,2026-05-19T01:51:02Z,1861.0,4017,486,75,90300,OK
imqOEKmoYaM,2026-05-19T03:51:10Z,1981.2,4269,498,77,90300,OK
imqOEKmoYaM,2026-05-19T05:50:57Z,2100.9,4450,502,77,90300,OK
imqOEKmoYaM,2026-05-19T07:51:04Z,2221.1,4530,506,77,90300,OK
imqOEKmoYaM,2026-05-19T09:51:09Z,2341.2,4569,508,77,90300,OK
imqOEKmoYaM,2026-05-19T11:50:41Z,2460.7,4632,518,78,90300,OK
imqOEKmoYaM,2026-05-19T13:51:38Z,2581.6,4734,522,79,90300,OK
imqOEKmoYaM,2026-05-19T15:50:46Z,2700.8,4867,530,79,90300,OK
imqOEKmoYaM,2026-05-19T17:50:56Z,2820.9,4952,539,79,90300,OK
imqOEKmoYaM,2026-05-19T19:50:45Z,2940.8,4952,539,79,90300,OK
imqOEKmoYaM,2026-05-19T21:50:41Z,3060.7,5128,554,83,90300,OK
imqOEKmoYaM,2026-05-19T23:50:41Z,3180.7,5242,556,87,90300,OK
imqOEKmoYaM,2026-05-20T01:50:39Z,3300.7,5356,563,87,90300,OK
imqOEKmoYaM,2026-05-20T03:51:07Z,3421.1,5481,571,88,90300,OK
imqOEKmoYaM,2026-05-20T05:50:52Z,3540.9,5570,575,89,90300,OK
imqOEKmoYaM,2026-05-20T07:51:06Z,3661.1,5630,576,89,90300,OK
imqOEKmoYaM,2026-05-20T09:50:47Z,3780.8,5664,581,89,90300,OK
imqOEKmoYaM,2026-05-20T11:50:52Z,3900.9,5697,583,89,90300,OK
imqOEKmoYaM,2026-05-26T16:46:16Z,12836.3,8405,701,99,90300,OK
imqOEKmoYaM,2026-05-27T14:23:24Z,14133.4,8615,711,100,90300,OK
