video_id,crawl_time,time_since_publish_minutes,view_count,like_count,comment_count,subscriber_count,video_status
iz_N9GMf3Nc,2026-05-29T00:20:38Z,55.2,461,,,10000,OK
iz_N9GMf3Nc,2026-05-29T00:47:38Z,82.2,2163,,,10000,OK
iz_N9GMf3Nc,2026-05-29T01:17:02Z,111.6,4366,,,10000,OK
iz_N9GMf3Nc,2026-05-29T01:43:57Z,138.5,4515,,,10000,OK
iz_N9GMf3Nc,2026-05-29T02:13:24Z,168.0,4563,,,10000,OK
iz_N9GMf3Nc,2026-05-29T02:35:31Z,190.1,4584,,,10000,OK
iz_N9GMf3Nc,2026-05-29T04:36:55Z,311.5,4615,,,10100,OK
iz_N9GMf3Nc,2026-05-29T06:40:56Z,435.5,4629,,,10100,OK
iz_N9GMf3Nc,2026-05-29T08:42:08Z,556.7,4630,,,10100,OK
iz_N9GMf3Nc,2026-05-29T10:38:41Z,673.2,4632,,,10100,OK
iz_N9GMf3Nc,2026-05-29T12:41:23Z,796.0,4638,,,10100,OK
