video_id,crawl_time,time_since_publish_minutes,view_count,like_count,comment_count,subscriber_count,video_status
jGSSxFDrSD0,2026-05-10T13:35:48Z,214.7,7737,207,25,3390000,OK
jGSSxFDrSD0,2026-05-10T18:05:34Z,484.4,21212,302,47,3390000,OK
jGSSxFDrSD0,2026-05-10T22:14:46Z,733.6,27591,345,58,3390000,OK
jGSSxFDrSD0,2026-05-11T02:35:01Z,993.9,36749,429,69,3390000,OK
jGSSxFDrSD0,2026-05-11T08:05:26Z,1324.3,41872,456,82,3390000,OK
jGSSxFDrSD0,2026-05-11T14:52:35Z,1731.4,44603,484,88,3390000,OK
jGSSxFDrSD0,2026-05-11T22:55:44Z,2214.6,47105,513,90,3390000,OK
jGSSxFDrSD0,2026-05-12T07:06:02Z,2704.9,49009,526,93,3390000,OK
jGSSxFDrSD0,2026-05-12T16:12:23Z,3251.2,50769,540,95,3390000,OK
jGSSxFDrSD0,2026-05-13T02:01:27Z,3840.3,52198,554,98,3390000,OK
jGSSxFDrSD0,2026-05-13T15:15:31Z,4634.4,53925,572,102,3390000,OK
jGSSxFDrSD0,2026-05-14T02:21:19Z,5300.2,54918,576,104,3390000,OK
