video_id,crawl_time,time_since_publish_minutes,view_count,like_count,comment_count,subscriber_count,video_status
jjRieCLd0qo,2026-06-08T19:13:44Z,306.7,710,9,,14900,OK
jjRieCLd0qo,2026-06-08T21:13:32Z,426.5,723,10,,14900,OK
jjRieCLd0qo,2026-06-08T23:13:03Z,546.0,811,12,,14900,OK
jjRieCLd0qo,2026-06-09T01:14:06Z,667.1,838,14,,14900,OK
jjRieCLd0qo,2026-06-09T03:13:09Z,786.1,838,14,,14900,OK
jjRieCLd0qo,2026-06-09T05:12:29Z,905.5,987,14,,14900,OK
jjRieCLd0qo,2026-06-09T07:12:42Z,1025.7,1004,15,,15000,OK
jjRieCLd0qo,2026-06-09T09:13:44Z,1146.7,1015,15,,15000,OK
jjRieCLd0qo,2026-06-09T11:13:21Z,1266.3,1047,17,,15000,OK
jjRieCLd0qo,2026-06-09T13:15:24Z,1388.4,1273,22,,15000,OK
jjRieCLd0qo,2026-06-09T15:13:24Z,1506.4,1508,23,,15000,OK
jjRieCLd0qo,2026-06-09T17:12:33Z,1625.5,1620,23,,15000,OK
jjRieCLd0qo,2026-06-09T19:13:05Z,1746.0,1635,23,,15000,OK
jjRieCLd0qo,2026-06-09T21:12:34Z,1865.5,1635,23,,15000,OK
jjRieCLd0qo,2026-06-09T23:13:08Z,1986.1,1696,23,,15000,OK
jjRieCLd0qo,2026-06-10T01:13:23Z,2106.3,1689,23,,15000,OK
