video_id,crawl_time,time_since_publish_minutes,view_count,like_count,comment_count,subscriber_count,video_status
lkmKRTZivM4,2026-05-28T12:42:59Z,132.9,836,14,,5090000,OK
lkmKRTZivM4,2026-05-28T12:56:42Z,146.7,942,14,,5090000,OK
lkmKRTZivM4,2026-05-28T13:06:08Z,156.1,983,14,,5090000,OK
lkmKRTZivM4,2026-05-28T13:14:18Z,164.3,1021,14,,5090000,OK
lkmKRTZivM4,2026-05-28T13:23:30Z,173.5,1048,16,,5090000,OK
lkmKRTZivM4,2026-05-28T13:35:52Z,185.8,1109,17,,5090000,OK
lkmKRTZivM4,2026-05-28T15:36:51Z,306.8,1287,18,,5090000,OK
lkmKRTZivM4,2026-05-28T17:33:23Z,423.4,2085,22,,5090000,OK
lkmKRTZivM4,2026-05-28T19:33:26Z,543.4,2582,22,,5090000,OK
lkmKRTZivM4,2026-05-28T21:40:21Z,670.3,2763,24,,5090000,OK
lkmKRTZivM4,2026-05-28T23:44:47Z,794.8,2763,24,,5090000,OK
lkmKRTZivM4,2026-05-29T01:46:30Z,916.5,2763,24,,5090000,OK
lkmKRTZivM4,2026-05-29T03:43:45Z,1033.7,2795,25,,5090000,OK
lkmKRTZivM4,2026-05-29T05:48:07Z,1158.1,2795,25,,5090000,OK
lkmKRTZivM4,2026-05-29T07:50:28Z,1280.4,2881,25,,5090000,OK
lkmKRTZivM4,2026-05-29T09:51:22Z,1401.3,2927,26,,5090000,OK
lkmKRTZivM4,2026-05-29T11:54:23Z,1524.3,2927,26,,5090000,OK
