video_id,crawl_time,time_since_publish_minutes,view_count,like_count,comment_count,subscriber_count,video_status
n5WudFj--a4,2026-05-09T07:12:39Z,131.7,4911,120,66,166000,OK
n5WudFj--a4,2026-05-09T07:21:53Z,140.9,5328,126,69,166000,OK
n5WudFj--a4,2026-05-09T07:31:55Z,150.9,5823,133,69,166000,OK
n5WudFj--a4,2026-05-09T07:41:56Z,160.9,6090,139,70,166000,OK
n5WudFj--a4,2026-05-09T07:53:13Z,172.2,6662,149,73,166000,OK
n5WudFj--a4,2026-05-09T08:02:26Z,181.4,7326,156,74,166000,OK
n5WudFj--a4,2026-05-09T10:02:10Z,301.2,24460,236,108,167000,OK
n5WudFj--a4,2026-05-09T12:02:56Z,421.9,41441,314,159,167000,OK
n5WudFj--a4,2026-05-09T14:08:24Z,547.4,56729,367,189,167000,OK
n5WudFj--a4,2026-05-09T16:13:22Z,672.4,64026,423,238,167000,OK
n5WudFj--a4,2026-05-09T18:14:56Z,793.9,66465,426,242,167000,OK
n5WudFj--a4,2026-05-09T20:14:54Z,913.9,66739,428,242,167000,OK
n5WudFj--a4,2026-05-09T22:21:26Z,1040.4,67196,431,243,167000,OK
n5WudFj--a4,2026-05-10T10:39:13Z,1778.2,67840,439,246,167000,OK
n5WudFj--a4,2026-05-10T14:03:06Z,1982.1,68218,440,246,167000,OK
n5WudFj--a4,2026-05-10T16:37:31Z,2136.5,68645,463,257,167000,OK
n5WudFj--a4,2026-05-10T19:38:06Z,2317.1,71130,466,257,167000,OK
n5WudFj--a4,2026-05-11T00:54:21Z,2633.3,71372,468,258,167000,OK
n5WudFj--a4,2026-05-11T06:13:52Z,2952.9,71447,470,258,167000,OK
n5WudFj--a4,2026-05-11T12:40:00Z,3339.0,71592,470,258,167000,OK
n5WudFj--a4,2026-05-11T20:09:48Z,3788.8,71700,471,256,167000,OK
n5WudFj--a4,2026-05-12T05:15:52Z,4334.9,71770,471,256,167000,OK
n5WudFj--a4,2026-05-12T19:32:23Z,5191.4,71786,471,255,167000,OK
n5WudFj--a4,2026-05-13T11:19:55Z,6138.9,71787,473,255,167000,OK
n5WudFj--a4,2026-05-14T01:49:08Z,7008.1,71816,474,255,167000,OK
