video_id,crawl_time,time_since_publish_minutes,view_count,like_count,comment_count,subscriber_count,video_status
n8VzjizaJFY,2026-05-08T18:54:47Z,533.4,6133,263,11,70100,OK
n8VzjizaJFY,2026-05-08T20:54:19Z,653.0,7206,297,12,70100,OK
n8VzjizaJFY,2026-05-08T22:55:24Z,774.0,8065,319,12,70100,OK
n8VzjizaJFY,2026-05-09T00:54:54Z,893.5,8889,358,15,70100,OK
n8VzjizaJFY,2026-05-09T02:54:46Z,1013.4,9669,386,16,70100,OK
n8VzjizaJFY,2026-05-09T04:54:39Z,1133.3,10296,403,17,70100,OK
n8VzjizaJFY,2026-05-09T06:54:52Z,1253.5,10949,423,17,70200,OK
n8VzjizaJFY,2026-05-09T08:57:41Z,1376.3,11505,439,18,70200,OK
n8VzjizaJFY,2026-05-09T10:55:21Z,1494.0,12000,460,18,70200,OK
n8VzjizaJFY,2026-05-09T12:58:54Z,1617.5,12543,494,18,70200,OK
n8VzjizaJFY,2026-05-09T15:05:23Z,1744.0,13397,524,18,70300,OK
n8VzjizaJFY,2026-05-09T17:08:37Z,1867.3,14363,541,18,70300,OK
n8VzjizaJFY,2026-05-09T19:08:36Z,1987.2,15100,549,18,70300,OK
n8VzjizaJFY,2026-05-09T21:13:07Z,2111.8,15542,559,19,70300,OK
n8VzjizaJFY,2026-05-09T23:20:47Z,2239.4,15993,574,19,70300,OK
n8VzjizaJFY,2026-05-10T11:55:17Z,2993.9,18441,658,21,70400,OK
n8VzjizaJFY,2026-05-10T15:31:02Z,3209.7,19220,681,22,70500,OK
n8VzjizaJFY,2026-05-10T18:29:41Z,3388.3,20000,697,22,70600,OK
n8VzjizaJFY,2026-05-10T22:44:41Z,3643.3,20615,712,22,70600,OK
n8VzjizaJFY,2026-05-11T03:13:27Z,3912.1,21223,721,22,70600,OK
n8VzjizaJFY,2026-05-11T08:55:18Z,4253.9,21845,747,22,70700,OK
n8VzjizaJFY,2026-05-11T15:50:57Z,4669.6,23018,789,24,70800,OK
n8VzjizaJFY,2026-05-11T23:00:18Z,5098.9,24305,808,25,70800,OK
n8VzjizaJFY,2026-05-12T10:33:46Z,5792.4,25687,835,26,70900,OK
n8VzjizaJFY,2026-05-12T19:07:20Z,6306.0,27074,867,28,71000,OK
n8VzjizaJFY,2026-05-13T10:43:34Z,7242.2,28275,898,29,71100,OK
n8VzjizaJFY,2026-05-14T01:43:39Z,8142.3,29580,931,32,71400,OK
