video_id,crawl_time,time_since_publish_minutes,view_count,like_count,comment_count,subscriber_count,video_status
nF1EcEwZPBI,2026-05-20T11:17:03Z,16.0,4,0,,46200,OK
nF1EcEwZPBI,2026-05-20T11:27:22Z,26.3,11,0,,46200,OK
nF1EcEwZPBI,2026-05-20T11:37:30Z,36.4,21,1,,46200,OK
nF1EcEwZPBI,2026-05-20T11:47:13Z,46.1,30,2,,46200,OK
nF1EcEwZPBI,2026-05-20T11:57:12Z,56.1,43,2,,46200,OK
nF1EcEwZPBI,2026-05-20T12:07:39Z,66.6,50,2,,46200,OK
nF1EcEwZPBI,2026-05-20T12:17:09Z,76.1,59,2,,46200,OK
nF1EcEwZPBI,2026-05-20T12:27:18Z,86.2,63,2,,46200,OK
nF1EcEwZPBI,2026-05-20T12:37:36Z,96.5,67,2,,46200,OK
nF1EcEwZPBI,2026-05-20T12:47:31Z,106.5,70,2,,46200,OK
nF1EcEwZPBI,2026-05-22T16:02:07Z,3181.1,351,5,,46300,OK
nF1EcEwZPBI,2026-05-22T18:02:29Z,3301.4,351,5,,46300,OK
nF1EcEwZPBI,2026-05-22T20:01:44Z,3420.7,351,5,,46300,OK
nF1EcEwZPBI,2026-05-22T22:01:58Z,3540.9,356,5,,46300,OK
nF1EcEwZPBI,2026-05-23T00:01:58Z,3660.9,356,5,,46300,OK
