video_id,crawl_time,time_since_publish_minutes,view_count,like_count,comment_count,subscriber_count,video_status
nhQTGvwXS6s,2026-06-03T16:03:36Z,303.5,589,3,,50700,OK
nhQTGvwXS6s,2026-06-03T18:01:48Z,421.7,793,4,,50700,OK
nhQTGvwXS6s,2026-06-03T20:01:56Z,541.8,1019,5,,50700,OK
nhQTGvwXS6s,2026-06-03T22:01:56Z,661.8,1058,5,,50700,OK
nhQTGvwXS6s,2026-06-04T00:03:25Z,783.3,1536,11,,50700,OK
nhQTGvwXS6s,2026-06-04T02:03:07Z,903.0,2879,8,,50700,OK
nhQTGvwXS6s,2026-06-04T04:04:01Z,1023.9,2978,9,,50700,OK
nhQTGvwXS6s,2026-06-04T06:02:33Z,1142.4,3075,13,,50700,OK
nhQTGvwXS6s,2026-06-04T08:03:51Z,1263.7,3463,15,,50700,OK
nhQTGvwXS6s,2026-06-04T10:02:59Z,1382.8,3953,16,,50700,OK
nhQTGvwXS6s,2026-06-04T12:03:52Z,1503.7,4254,17,,50700,OK
nhQTGvwXS6s,2026-06-04T14:05:02Z,1624.9,4548,17,,50700,OK
nhQTGvwXS6s,2026-06-04T16:03:36Z,1743.5,4587,17,,50700,OK
nhQTGvwXS6s,2026-06-04T18:03:08Z,1863.0,4587,17,,50700,OK
nhQTGvwXS6s,2026-06-04T20:03:21Z,1983.2,4543,17,,50700,OK
nhQTGvwXS6s,2026-06-04T22:02:08Z,2102.0,4543,19,,50700,OK
nhQTGvwXS6s,2026-06-05T00:03:09Z,2223.0,4775,20,,50700,OK
nhQTGvwXS6s,2026-06-05T02:02:17Z,2342.2,4921,20,,50700,OK
nhQTGvwXS6s,2026-06-05T04:03:18Z,2463.2,4921,20,,50700,OK
nhQTGvwXS6s,2026-06-05T06:04:44Z,2584.6,4961,20,,50700,OK
nhQTGvwXS6s,2026-06-05T08:03:34Z,2703.4,4982,20,,50700,OK
nhQTGvwXS6s,2026-06-05T10:04:12Z,2824.1,4997,20,,50700,OK
nhQTGvwXS6s,2026-06-05T11:01:53Z,2881.8,5001,19,,50700,OK
nhQTGvwXS6s,2026-06-05T13:03:35Z,3003.4,5007,20,,50700,OK
nhQTGvwXS6s,2026-06-05T15:02:00Z,3121.9,5038,20,,50700,OK
nhQTGvwXS6s,2026-06-05T17:00:40Z,3240.5,5042,20,,50700,OK
nhQTGvwXS6s,2026-06-05T19:01:34Z,3361.4,5070,20,,50700,OK
nhQTGvwXS6s,2026-06-05T21:00:46Z,3480.6,5070,20,,50700,OK
nhQTGvwXS6s,2026-06-05T23:02:01Z,3601.9,5197,20,,50700,OK
nhQTGvwXS6s,2026-06-06T01:00:45Z,3720.6,5265,20,,50700,OK
nhQTGvwXS6s,2026-06-06T03:00:42Z,3840.6,5326,21,,50700,OK
nhQTGvwXS6s,2026-06-06T05:00:57Z,3960.8,5326,21,,50700,OK
nhQTGvwXS6s,2026-06-06T07:00:47Z,4080.7,5387,21,,50700,OK
nhQTGvwXS6s,2026-06-06T09:02:11Z,4202.1,5406,21,,50700,OK
nhQTGvwXS6s,2026-06-06T11:00:54Z,4320.8,5428,21,,50700,OK
nhQTGvwXS6s,2026-06-06T17:01:30Z,4681.4,5475,21,,50700,OK
