video_id,crawl_time,time_since_publish_minutes,view_count,like_count,comment_count,subscriber_count,video_status
nzdu618xX_4,2026-05-30T08:01:55Z,103.2,129,11,1,2700,OK
nzdu618xX_4,2026-05-30T08:32:15Z,133.5,168,14,2,2700,OK
nzdu618xX_4,2026-05-30T09:04:43Z,166.0,224,16,2,2700,OK
nzdu618xX_4,2026-05-30T09:34:06Z,195.4,256,16,2,2700,OK
nzdu618xX_4,2026-05-30T11:30:06Z,311.4,429,19,3,2700,OK
nzdu618xX_4,2026-05-30T13:32:59Z,434.3,586,22,3,2710,OK
nzdu618xX_4,2026-05-30T15:24:40Z,546.0,899,24,3,2710,OK
nzdu618xX_4,2026-05-30T17:25:34Z,666.9,1154,27,3,2720,OK
nzdu618xX_4,2026-05-30T19:24:30Z,785.8,1423,31,4,2720,OK
nzdu618xX_4,2026-05-30T21:30:25Z,911.7,,34,5,2730,LOGIN_REQUIRED
