video_id,crawl_time,time_since_publish_minutes,view_count,like_count,comment_count,subscriber_count,video_status
pCBXCbvxlac,2026-05-31T01:15:18Z,25.7,10,1,,4610,OK
pCBXCbvxlac,2026-05-31T01:24:40Z,35.1,15,1,,4610,OK
pCBXCbvxlac,2026-05-31T01:38:00Z,48.4,26,1,,4610,OK
pCBXCbvxlac,2026-05-31T02:01:18Z,71.7,29,1,,4610,OK
pCBXCbvxlac,2026-05-31T02:24:02Z,94.4,29,1,,4610,OK
pCBXCbvxlac,2026-05-31T02:52:09Z,122.5,26,1,,4610,OK
pCBXCbvxlac,2026-05-31T03:12:04Z,142.5,29,1,,4610,OK
pCBXCbvxlac,2026-05-31T03:16:36Z,147.0,29,1,,4610,OK
pCBXCbvxlac,2026-05-31T03:27:54Z,158.3,26,1,,4610,OK
pCBXCbvxlac,2026-05-31T03:44:50Z,175.2,29,1,,4610,OK
pCBXCbvxlac,2026-05-31T04:13:56Z,204.3,26,1,,4610,OK
pCBXCbvxlac,2026-05-31T06:11:05Z,321.5,56,1,,4610,OK
pCBXCbvxlac,2026-05-31T08:15:56Z,446.3,60,1,,4610,OK
pCBXCbvxlac,2026-05-31T10:17:38Z,568.0,63,1,,4610,OK
pCBXCbvxlac,2026-05-31T11:55:15Z,665.6,64,1,,4610,UNPLAYABLE
