video_id,crawl_time,time_since_publish_minutes,view_count,like_count,comment_count,subscriber_count,video_status
pMPAMCJ-Kig,2026-06-04T05:14:55Z,134.7,1052,6,,147000,OK
pMPAMCJ-Kig,2026-06-04T05:24:25Z,144.2,1113,6,,147000,OK
pMPAMCJ-Kig,2026-06-04T05:35:08Z,154.9,1184,6,,147000,OK
pMPAMCJ-Kig,2026-06-04T05:44:30Z,164.3,1223,7,,147000,OK
pMPAMCJ-Kig,2026-06-04T05:55:07Z,174.9,1243,7,,147000,OK
pMPAMCJ-Kig,2026-06-04T06:01:59Z,181.8,1255,7,,147000,OK
pMPAMCJ-Kig,2026-06-04T08:00:57Z,300.7,1581,8,,147000,OK
pMPAMCJ-Kig,2026-06-04T10:01:39Z,421.4,1970,8,,147000,OK
pMPAMCJ-Kig,2026-06-04T12:01:06Z,540.9,2098,7,,147000,OK
pMPAMCJ-Kig,2026-06-04T14:02:40Z,662.5,2228,9,,147000,OK
pMPAMCJ-Kig,2026-06-04T16:02:56Z,782.7,2281,9,,147000,OK
pMPAMCJ-Kig,2026-06-04T18:02:30Z,902.3,2281,9,,147000,OK
pMPAMCJ-Kig,2026-06-04T20:01:34Z,1021.4,2391,9,,147000,OK
pMPAMCJ-Kig,2026-06-04T22:01:34Z,1141.3,2391,9,,147000,OK
pMPAMCJ-Kig,2026-06-05T00:01:57Z,1261.7,2506,9,,147000,OK
pMPAMCJ-Kig,2026-06-05T02:01:32Z,1381.3,2506,9,,147000,OK
pMPAMCJ-Kig,2026-06-05T04:02:03Z,1501.8,2589,9,,147000,OK
pMPAMCJ-Kig,2026-06-05T06:02:39Z,1622.4,2589,10,,147000,OK
pMPAMCJ-Kig,2026-06-05T08:02:07Z,1741.9,2670,10,,147000,OK
pMPAMCJ-Kig,2026-06-05T10:02:24Z,1862.2,2707,11,,147000,OK
pMPAMCJ-Kig,2026-06-05T12:03:48Z,1983.6,2707,11,,147000,OK
pMPAMCJ-Kig,2026-06-05T14:02:02Z,2101.8,2781,11,,147000,OK
pMPAMCJ-Kig,2026-06-05T16:01:48Z,2221.6,2817,11,,147000,OK
pMPAMCJ-Kig,2026-06-05T18:01:57Z,2341.7,2817,11,,147000,OK
pMPAMCJ-Kig,2026-06-05T20:02:04Z,2461.8,2838,11,,147000,OK
pMPAMCJ-Kig,2026-06-05T22:01:00Z,2580.8,2817,11,,147000,OK
pMPAMCJ-Kig,2026-06-06T00:01:16Z,2701.1,2923,11,,147000,OK
pMPAMCJ-Kig,2026-06-06T02:02:04Z,2821.8,2963,11,,147000,OK
pMPAMCJ-Kig,2026-06-06T03:00:58Z,2880.8,2923,11,,147000,OK
pMPAMCJ-Kig,2026-06-06T05:01:42Z,3001.5,2992,12,,147000,OK
pMPAMCJ-Kig,2026-06-06T07:00:59Z,3120.8,3005,12,,147000,OK
pMPAMCJ-Kig,2026-06-06T09:02:26Z,3242.2,3010,12,,147000,OK
pMPAMCJ-Kig,2026-06-06T11:01:11Z,3361.0,3017,12,,147000,OK
pMPAMCJ-Kig,2026-06-06T13:01:34Z,3481.3,3021,12,,147000,OK
pMPAMCJ-Kig,2026-06-06T15:01:43Z,3601.5,3021,12,,147000,OK
pMPAMCJ-Kig,2026-06-06T17:01:43Z,3721.5,3022,12,,147000,OK
pMPAMCJ-Kig,2026-06-06T19:02:08Z,3841.9,3022,12,,147000,OK
pMPAMCJ-Kig,2026-06-06T21:03:51Z,3963.6,3022,12,,147000,OK
pMPAMCJ-Kig,2026-06-06T23:01:01Z,4080.8,3031,12,,147000,OK
pMPAMCJ-Kig,2026-06-07T01:00:51Z,4200.6,3024,12,,147000,OK
pMPAMCJ-Kig,2026-06-07T03:00:56Z,4320.7,3024,12,,147000,OK
pMPAMCJ-Kig,2026-06-07T09:01:34Z,4681.4,3037,12,,147000,OK
