video_id,crawl_time,time_since_publish_minutes,view_count,like_count,comment_count,subscriber_count,video_status
pg6Q_UGxVsQ,2026-05-29T14:09:38Z,47.8,1,3,,710,OK
pg6Q_UGxVsQ,2026-05-29T14:18:38Z,56.8,1,3,,710,OK
pg6Q_UGxVsQ,2026-05-29T14:28:37Z,66.8,1,3,,710,OK
pg6Q_UGxVsQ,2026-05-29T14:40:07Z,78.3,1,3,,710,OK
pg6Q_UGxVsQ,2026-05-29T14:49:09Z,87.3,1,3,,710,OK
pg6Q_UGxVsQ,2026-05-29T15:02:01Z,100.2,1,3,,710,OK
pg6Q_UGxVsQ,2026-05-29T15:14:09Z,112.3,4,3,,710,OK
pg6Q_UGxVsQ,2026-05-29T15:26:49Z,125.0,4,3,,710,OK
pg6Q_UGxVsQ,2026-05-29T15:41:09Z,139.3,12,3,,710,OK
pg6Q_UGxVsQ,2026-05-29T16:03:39Z,161.8,114,3,,710,OK
pg6Q_UGxVsQ,2026-05-29T16:23:08Z,181.3,249,3,,710,OK
pg6Q_UGxVsQ,2026-05-29T18:22:40Z,300.8,489,3,,711,OK
pg6Q_UGxVsQ,2026-05-29T20:22:55Z,421.1,489,3,,711,OK
pg6Q_UGxVsQ,2026-05-29T22:24:28Z,542.6,489,,,,OK
pg6Q_UGxVsQ,2026-05-30T00:32:01Z,670.2,,,,,LOGIN_REQUIRED
