video_id,crawl_time,time_since_publish_minutes,view_count,like_count,comment_count,subscriber_count,video_status
pxu7d81n4lk,2026-05-18T17:25:39Z,12.4,0,0,,58,OK
pxu7d81n4lk,2026-05-18T17:35:57Z,22.7,0,0,,58,OK
pxu7d81n4lk,2026-05-18T17:45:51Z,32.6,0,0,,58,OK
pxu7d81n4lk,2026-05-18T17:55:52Z,42.6,0,0,,58,OK
pxu7d81n4lk,2026-05-18T18:06:00Z,52.8,0,0,,58,OK
pxu7d81n4lk,2026-05-18T18:17:26Z,64.2,0,0,,58,OK
pxu7d81n4lk,2026-05-18T18:25:50Z,72.6,0,0,,58,OK
pxu7d81n4lk,2026-05-18T18:36:05Z,82.8,0,0,,58,OK
pxu7d81n4lk,2026-05-18T18:45:59Z,92.7,0,0,,58,OK
pxu7d81n4lk,2026-05-18T18:55:53Z,102.6,0,0,,58,OK
pxu7d81n4lk,2026-05-18T19:06:08Z,112.9,0,0,,58,OK
pxu7d81n4lk,2026-05-18T19:15:42Z,122.5,0,0,,58,OK
pxu7d81n4lk,2026-05-18T19:25:46Z,132.5,0,0,,58,OK
pxu7d81n4lk,2026-05-18T19:36:22Z,143.1,0,0,,58,OK
pxu7d81n4lk,2026-05-18T19:46:04Z,152.8,0,0,,58,OK
pxu7d81n4lk,2026-05-18T19:55:58Z,162.7,0,0,,58,OK
pxu7d81n4lk,2026-05-18T20:06:15Z,173.0,0,0,,58,OK
pxu7d81n4lk,2026-05-18T20:15:54Z,182.7,0,0,,58,OK
pxu7d81n4lk,2026-05-18T22:15:40Z,302.4,0,0,,58,OK
pxu7d81n4lk,2026-05-19T00:15:53Z,422.6,0,0,,58,OK
pxu7d81n4lk,2026-05-19T02:15:57Z,542.7,0,0,,58,OK
pxu7d81n4lk,2026-05-19T04:15:57Z,662.7,1,0,,58,OK
pxu7d81n4lk,2026-05-19T06:15:55Z,782.7,2,1,,58,OK
pxu7d81n4lk,2026-05-19T08:15:43Z,902.5,2,1,,58,OK
pxu7d81n4lk,2026-05-19T10:15:41Z,1022.4,2,1,,58,OK
pxu7d81n4lk,2026-05-19T12:16:17Z,1143.0,3,1,,58,OK
pxu7d81n4lk,2026-05-19T14:15:54Z,1262.7,3,1,,60,OK
pxu7d81n4lk,2026-05-19T16:15:59Z,1382.7,4,1,,60,OK
pxu7d81n4lk,2026-05-19T18:15:51Z,1502.6,4,1,,60,OK
pxu7d81n4lk,2026-05-19T20:16:00Z,1622.8,4,1,,60,OK
pxu7d81n4lk,2026-05-19T22:15:45Z,1742.5,4,1,,59,OK
pxu7d81n4lk,2026-05-20T00:15:47Z,1862.5,4,1,,59,OK
pxu7d81n4lk,2026-05-20T02:15:46Z,1982.5,4,1,,59,OK
pxu7d81n4lk,2026-05-20T04:16:03Z,2102.8,4,1,,59,OK
pxu7d81n4lk,2026-05-20T06:15:51Z,2222.6,3,1,,59,OK
pxu7d81n4lk,2026-05-20T08:15:48Z,2342.6,3,1,,59,OK
pxu7d81n4lk,2026-05-20T10:15:51Z,2462.6,3,1,,59,OK
pxu7d81n4lk,2026-05-20T12:15:58Z,2582.7,3,1,,59,OK
