video_id,crawl_time,time_since_publish_minutes,view_count,like_count,comment_count,subscriber_count,video_status
qcRssgmx1OM,2026-05-09T14:43:56Z,533.2,24118,77,1,27200,OK
qcRssgmx1OM,2026-05-09T16:47:41Z,657.0,27533,80,1,27200,OK
qcRssgmx1OM,2026-05-09T18:46:59Z,776.3,28237,81,1,27200,OK
qcRssgmx1OM,2026-05-09T20:49:39Z,899.0,28587,81,1,27200,OK
qcRssgmx1OM,2026-05-09T22:55:34Z,1024.9,28733,82,1,27200,OK
qcRssgmx1OM,2026-05-10T11:24:05Z,1773.4,29320,82,1,27200,OK
qcRssgmx1OM,2026-05-10T14:57:32Z,1986.8,29519,84,1,27200,OK
qcRssgmx1OM,2026-05-10T17:49:20Z,2158.6,29410,84,1,27200,OK
qcRssgmx1OM,2026-05-10T21:54:13Z,2403.5,29424,84,1,27200,OK
qcRssgmx1OM,2026-05-11T02:12:28Z,2661.8,29429,85,1,27200,OK
qcRssgmx1OM,2026-05-11T07:37:25Z,2986.7,29520,85,1,27200,OK
qcRssgmx1OM,2026-05-11T14:21:08Z,3390.4,29577,85,1,27200,OK
qcRssgmx1OM,2026-05-11T22:19:45Z,3869.1,29616,85,1,27200,OK
qcRssgmx1OM,2026-05-12T06:33:10Z,4362.5,29626,85,1,27200,OK
qcRssgmx1OM,2026-05-12T21:20:49Z,5250.1,29657,85,1,27200,OK
qcRssgmx1OM,2026-05-13T14:11:58Z,6261.3,29657,85,1,27200,OK
qcRssgmx1OM,2026-05-14T02:09:21Z,6978.6,29665,85,1,27200,OK
