video_id,crawl_time,time_since_publish_minutes,view_count,like_count,comment_count,subscriber_count,video_status
s2Wx0I8ygF0,2026-05-29T23:54:45Z,91.1,8,10,,2670,OK
s2Wx0I8ygF0,2026-05-30T00:21:28Z,117.8,32,10,,2670,OK
s2Wx0I8ygF0,2026-05-30T00:48:53Z,145.3,123,11,,2670,OK
s2Wx0I8ygF0,2026-05-30T01:16:57Z,173.3,154,11,,2670,OK
s2Wx0I8ygF0,2026-05-30T01:47:25Z,203.8,183,11,,2670,OK
s2Wx0I8ygF0,2026-05-30T03:42:16Z,318.6,183,11,,2670,OK
s2Wx0I8ygF0,2026-05-30T05:45:47Z,442.2,183,11,,2670,OK
s2Wx0I8ygF0,2026-05-30T07:44:06Z,560.5,208,10,2,2670,OK
s2Wx0I8ygF0,2026-05-30T09:46:40Z,683.0,212,10,2,2670,OK
s2Wx0I8ygF0,2026-05-30T11:42:38Z,799.0,212,10,2,2670,OK
s2Wx0I8ygF0,2026-05-30T13:44:45Z,921.1,213,10,2,2670,OK
s2Wx0I8ygF0,2026-05-30T15:39:55Z,1036.3,215,10,3,2670,OK
s2Wx0I8ygF0,2026-05-30T17:41:09Z,1157.5,217,10,3,2670,OK
s2Wx0I8ygF0,2026-05-30T19:41:39Z,1278.0,217,10,3,2670,OK
s2Wx0I8ygF0,2026-05-30T21:44:39Z,1401.0,217,10,3,2670,OK
s2Wx0I8ygF0,2026-05-30T23:28:09Z,1504.5,217,10,3,2670,OK
s2Wx0I8ygF0,2026-05-31T01:28:31Z,1624.9,217,10,3,2670,OK
s2Wx0I8ygF0,2026-05-31T03:32:17Z,1748.7,218,10,3,2670,OK
s2Wx0I8ygF0,2026-05-31T05:32:21Z,1868.7,218,10,3,2670,OK
s2Wx0I8ygF0,2026-05-31T07:37:58Z,1994.3,218,10,3,2670,OK
s2Wx0I8ygF0,2026-05-31T09:41:18Z,2117.7,218,10,3,2670,UNPLAYABLE
