video_id,crawl_time,time_since_publish_minutes,view_count,like_count,comment_count,subscriber_count,video_status
suzm-wWHTXM,2026-06-06T18:06:29Z,65.8,52,1,,501,OK
suzm-wWHTXM,2026-06-06T18:16:51Z,76.2,57,1,,501,OK
suzm-wWHTXM,2026-06-06T18:27:21Z,86.7,59,1,,501,OK
suzm-wWHTXM,2026-06-06T18:36:50Z,96.2,69,1,,501,OK
suzm-wWHTXM,2026-06-06T18:45:59Z,105.3,74,1,,501,OK
suzm-wWHTXM,2026-06-06T18:56:22Z,115.7,74,1,,501,OK
suzm-wWHTXM,2026-06-06T19:08:01Z,127.3,74,1,,501,OK
suzm-wWHTXM,2026-06-06T19:16:12Z,135.5,74,1,,501,OK
suzm-wWHTXM,2026-06-06T19:26:54Z,146.2,74,1,,501,OK
suzm-wWHTXM,2026-06-06T19:36:15Z,155.6,74,1,,501,OK
suzm-wWHTXM,2026-06-06T19:46:47Z,166.1,74,1,,501,UNPLAYABLE
