video_id,crawl_time,time_since_publish_minutes,view_count,like_count,comment_count,subscriber_count,video_status
xTukTGrEcRw,2026-06-07T20:36:25Z,36.4,10,1,,6780,OK
xTukTGrEcRw,2026-06-07T20:46:39Z,46.6,16,1,,6780,OK
xTukTGrEcRw,2026-06-07T20:56:54Z,56.9,19,1,,6780,OK
xTukTGrEcRw,2026-06-07T21:06:32Z,66.5,24,1,,6780,OK
xTukTGrEcRw,2026-06-07T21:16:52Z,76.8,25,1,,6780,OK
xTukTGrEcRw,2026-06-07T21:27:18Z,87.3,29,1,,6780,OK
xTukTGrEcRw,2026-06-07T21:37:01Z,97.0,31,1,,6780,OK
xTukTGrEcRw,2026-06-07T21:46:35Z,106.5,31,1,,6780,OK
xTukTGrEcRw,2026-06-07T21:56:40Z,116.6,31,1,,6780,OK
xTukTGrEcRw,2026-06-07T22:06:33Z,126.5,31,1,,6780,OK
xTukTGrEcRw,2026-06-07T22:17:11Z,137.2,31,1,,6780,OK
xTukTGrEcRw,2026-06-07T22:26:32Z,146.5,31,1,,6780,OK
xTukTGrEcRw,2026-06-07T22:38:08Z,158.1,31,1,,6780,OK
xTukTGrEcRw,2026-06-07T22:48:06Z,168.1,31,1,,6780,UNPLAYABLE
