video_id,crawl_time,time_since_publish_minutes,view_count,like_count,comment_count,subscriber_count,video_status
zKCIwP4AL3k,2026-06-09T09:24:41Z,25.1,154,1,,308000,OK
zKCIwP4AL3k,2026-06-09T09:34:07Z,34.6,224,1,,308000,OK
zKCIwP4AL3k,2026-06-09T09:41:31Z,42.0,268,1,,308000,OK
zKCIwP4AL3k,2026-06-09T09:51:38Z,52.1,303,2,,308000,OK
zKCIwP4AL3k,2026-06-09T10:04:33Z,65.0,363,3,,308000,OK
zKCIwP4AL3k,2026-06-09T10:11:42Z,72.2,399,5,,308000,OK
zKCIwP4AL3k,2026-06-09T10:24:04Z,84.5,429,6,,308000,OK
zKCIwP4AL3k,2026-06-09T10:36:05Z,96.5,457,7,,308000,OK
zKCIwP4AL3k,2026-06-09T10:42:11Z,102.7,469,7,,308000,OK
zKCIwP4AL3k,2026-06-09T10:53:03Z,113.5,489,7,,308000,UNPLAYABLE
