video_id,crawl_time,time_since_publish_minutes,view_count,like_count,comment_count,subscriber_count,video_status
z_yjS0padtI,2026-05-19T11:55:26Z,16.0,0,0,,39,OK
z_yjS0padtI,2026-05-19T12:06:17Z,26.8,0,0,,39,OK
z_yjS0padtI,2026-05-19T12:15:39Z,36.2,0,0,,39,OK
z_yjS0padtI,2026-05-19T12:25:31Z,46.0,0,0,,39,OK
z_yjS0padtI,2026-05-19T12:35:52Z,56.4,0,0,,39,OK
z_yjS0padtI,2026-05-19T12:45:20Z,65.9,0,0,,39,OK
z_yjS0padtI,2026-05-19T12:55:32Z,76.1,0,0,,39,OK
z_yjS0padtI,2026-05-19T13:05:56Z,86.5,0,0,,39,OK
z_yjS0padtI,2026-05-19T13:15:56Z,96.5,0,0,,39,OK
z_yjS0padtI,2026-05-19T13:25:42Z,106.2,0,0,,39,OK
z_yjS0padtI,2026-05-19T13:35:52Z,116.4,0,0,,39,OK
z_yjS0padtI,2026-05-19T13:45:37Z,126.2,0,0,,39,OK
z_yjS0padtI,2026-05-19T13:55:28Z,136.0,0,0,,39,OK
z_yjS0padtI,2026-05-19T14:06:10Z,146.7,0,0,,39,OK
z_yjS0padtI,2026-05-19T14:15:46Z,156.3,0,0,,39,OK
z_yjS0padtI,2026-05-19T14:25:38Z,166.2,0,0,,39,OK
z_yjS0padtI,2026-05-19T14:35:48Z,176.3,0,0,,39,OK
z_yjS0padtI,2026-05-19T14:46:01Z,186.6,0,0,,39,OK
z_yjS0padtI,2026-05-19T16:45:36Z,306.1,0,0,,40,OK
z_yjS0padtI,2026-05-19T18:45:46Z,426.3,0,0,,40,OK
z_yjS0padtI,2026-05-19T20:45:31Z,546.0,0,0,,40,OK
z_yjS0padtI,2026-05-19T22:45:40Z,666.2,0,0,,42,OK
z_yjS0padtI,2026-05-20T00:45:44Z,786.3,0,0,,42,OK
z_yjS0padtI,2026-05-20T02:45:15Z,905.8,1,0,,42,OK
z_yjS0padtI,2026-05-20T04:45:40Z,1026.2,1,0,,42,OK
z_yjS0padtI,2026-05-20T06:45:47Z,1146.3,1,0,,42,OK
z_yjS0padtI,2026-05-20T08:45:44Z,1266.3,1,0,,43,OK
z_yjS0padtI,2026-05-20T10:45:26Z,1386.0,1,0,,43,OK
z_yjS0padtI,2026-05-20T12:45:45Z,1506.3,1,0,,43,OK
